_id,County,FIPS,Cases,Case Rate,Case Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Pos Difference
11,Clay,18021,194,739.75199999999995270627550780773162841796875,3,0.158310000000000006270539643082884140312671661376953125,3,3,Red (3),0.1344599999999999961897145794864627532660961151123046875,2.38600000000000012079226507921703159809112548828125
12,Clinton,18023,202,623.4759999999999990905052982270717620849609375,3,0.10632999999999999396482763813764904625713825225830078125,2,2.5,Orange (2 and 2.5),0.093420000000000003037570195374428294599056243896484375,1.29000000000000003552713678800500929355621337890625
13,Crawford,18025,34,321.451999999999998181010596454143524169921875,3,0.071989999999999998436805981327779591083526611328125,1,2,Orange (2 and 2.5),0.09313000000000000444533299059912678785622119903564453125,-2.114999999999999769073610877967439591884613037109375
14,Daviess,18027,131,392.79199999999997316990629769861698150634765625,3,0.122279999999999999804600747665972448885440826416015625,2,2.5,Orange (2 and 2.5),0.1307999999999999996003197111349436454474925994873046875,-0.85199999999999997957189634689711965620517730712890625
15,De Kalb,18033,318,731.4550000000000409272615797817707061767578125,3,0.16300999999999998824051772317034192383289337158203125,3,3,Red (3),0.129720000000000001971756091734278015792369842529296875,3.329000000000000181188397618825547397136688232421875
16,Dearborn,18029,357,721.825000000000045474735088646411895751953125,3,0.168020000000000002682298827494378201663494110107421875,3,3,Red (3),0.136720000000000008189005029635154642164707183837890625,3.130000000000000337507799486047588288784027099609375
17,Decatur,18031,240,903.6480000000000245563569478690624237060546875,3,0.1960199999999999997957189634689711965620517730712890625,3,3,Red (3),0.1620999999999999940936135089941672049462795257568359375,3.391999999999999904076730672386474907398223876953125
18,Delaware,18035,425,372.365999999999985448084771633148193359375,3,0.068269999999999997353228309293626807630062103271484375,1,2,Orange (2 and 2.5),0.08595999999999999474642464747375925071537494659423828125,-1.7690000000000001278976924368180334568023681640625
19,Dubois,18037,209,489.0489999999999781721271574497222900390625,3,0.148189999999999988400389838716364465653896331787109375,2,2.5,Orange (2 and 2.5),0.091859999999999997211119762141606770455837249755859375,5.63300000000000000710542735760100185871124267578125
20,Elkhart,18039,2191,1061.8350000000000363797880709171295166015625,3,0.1790400000000000046984638402136624790728092193603515625,3,3,Red (3),0.134720000000000006412648190234904177486896514892578125,4.43100000000000004973799150320701301097869873046875
