_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Difference in Positivity
11,Clay,18021,14,53.38417540500000058045770856551826000213623046875,1,0.020313589999999999424762364697016892023384571075439453125,0,0.5,Blue (0 and 0.5),0.034084181999999997592087908060420886613428592681884765625,-1.3770591999999999277548567988560535013675689697265625
12,Clinton,18023,32,98.768480508999999756269971840083599090576171875,1,0.01012717599999999988635845937778867664746940135955810546875,0,0.5,Blue (0 and 0.5),0.0120841869999999997065120993511300184763967990875244140625,-0.1957010999999999889542579012413625605404376983642578125
13,Crawford,18025,7,66.1813368629999985159884090535342693328857421875,1,0.017027183000000001289464535147999413311481475830078125,0,0.5,Blue (0 and 0.5),0.059051869999999999361062208436123910360038280487060546875,-4.20246869999999983491534294444136321544647216796875
14,Daviess,18027,37,110.9412011630000023387765395455062389373779296875,2,0.07810843800000000225480789595167152583599090576171875,1,1.5,Yellow (1 and 1.5),0.08265930900000000025595880970286088995635509490966796875,-0.45508709999999996664854506889241747558116912841796875
15,Dearborn,18029,48,97.0520441590000046971908886916935443878173828125,1,0.1275090610000000068691150545419077388942241668701171875,2,1.5,Yellow (1 and 1.5),0.03066407200000000055073456906029605306684970855712890625,9.68449890000000124246071209199726581573486328125
16,Decatur,18031,6,22.591212019000000310597897623665630817413330078125,1,0.021322844999999999993089971894733025692403316497802734375,0,0.5,Blue (0 and 0.5),0.053267949000000001935628546334555721841752529144287109375,-3.19451030000000013586713976110331714153289794921875
17,De Kalb,18033,38,87.40655549199999541087890975177288055419921875,1,0.07762681899999999968198238775585195980966091156005859375,1,1,Yellow (1 and 1.5),0.0788790020000000036137777215117239393293857574462890625,-0.1252183000000000046014747567824088037014007568359375
18,Delaware,18035,120,105.138651597000006177040631882846355438232421875,2,0.044630495999999998668616996155833476223051548004150390625,0,1,Yellow (1 and 1.5),0.07125510300000000019071677570536849088966846466064453125,-2.662460700000000013432099876808933913707733154296875
19,Dubois,18037,51,119.3373268440000032342140912078320980072021484375,2,0.06706832399999999860806809692803653888404369354248046875,1,1.5,Yellow (1 and 1.5),0.040246631999999997464367851307542878203094005584716796875,2.682169200000000142125600177678279578685760498046875
20,Elkhart,18039,333,161.383341167999986964787240140140056610107421875,2,0.05000000000000000277555756156289135105907917022705078125,1,1.5,Yellow (1 and 1.5),0.0560319940000000016322445617333869449794292449951171875,-0.60504429999999997935589135522604919970035552978515625
21,Fayette,18041,6,25.9717773349999987431147019378840923309326171875,1,0.0232547149999999987202148332698925514705479145050048828125,0,0.5,Blue (0 and 0.5),0.0490567729999999979639824232435785233974456787109375,-2.580205899999999719085508331772871315479278564453125
22,Floyd,18043,85,108.249917221000004019515472464263439178466796875,2,0.032725603999999998416914337440175586380064487457275390625,0,1,Yellow (1 and 1.5),0.0550898410000000005037890105086262337863445281982421875,-2.236423700000000014398437997442670166492462158203125
23,Fountain,18045,13,79.530160284000004367044311948120594024658203125,1,0.01977489799999999908752812416423694230616092681884765625,0,0.5,Blue (0 and 0.5),0.06588223099999999943232609211918315850198268890380859375,-4.6107332000000003091599865001626312732696533203125
24,Franklin,18047,13,57.1227700150000003986860974691808223724365234375,1,0.07314567199999999491666358153452165424823760986328125,1,1,Yellow (1 and 1.5),0.045958845999999997644636096083559095859527587890625,2.71868260000000017129195839515887200832366943359375
25,Fulton,18049,10,50.0650846099999995431062416173517704010009765625,1,0.01248422599999999930975302930846737581305205821990966796875,0,0.5,Blue (0 and 0.5),0.00639583600000000022933743792918903636746108531951904296875,0.60883900000000001906386160044348798692226409912109375
26,Gibson,18051,57,169.3454945189999989452189765870571136474609375,2,0.05840536400000000127885613210310111753642559051513671875,1,1.5,Yellow (1 and 1.5),0.07170773699999999362120206569670699536800384521484375,-1.330237299999999844857256903196685016155242919921875
27,Grant,18053,64,97.310282959999995000544004142284393310546875,1,0.0617024919999999976738536133780144155025482177734375,1,1,Yellow (1 and 1.5),0.09015327099999999316271015459278714843094348907470703125,-2.84507789999999971541910781525075435638427734375
28,Greene,18055,10,31.32635799799999887227386352606117725372314453125,1,0.042103203999999998241587917391370865516364574432373046875,0,0.5,Blue (0 and 0.5),0.0308559540000000014081660282272423501126468181610107421875,1.1247249999999999747757328805164434015750885009765625
29,Hamilton,18057,250,73.962089990999999145060428418219089508056640625,1,0.033908001000000000113576703597573214210569858551025390625,0,0.5,Blue (0 and 0.5),0.0306920380000000013465122350453384569846093654632568359375,0.321596300000000001606537125553586520254611968994140625
30,Hancock,18059,41,52.451130898000002389380824752151966094970703125,1,0.034396058999999999661323357713627046905457973480224609375,0,0.5,Blue (0 and 0.5),0.04544687499999999769073610877967439591884613037109375,-1.105081699999999944594719636370427906513214111328125
31,Harrison,18061,32,78.98309268200000587967224419116973876953125,1,0.059484456999999997528494333209891919977962970733642578125,1,1,Yellow (1 and 1.5),0.061843004999999999504733949606816167943179607391357421875,-0.2358547000000000004593658786689047701656818389892578125
32,Hendricks,18063,104,61.06475800199999781625592731870710849761962890625,1,0.02879167700000000162940949621770414523780345916748046875,0,0.5,Blue (0 and 0.5),0.0387962540000000022377690811481443233788013458251953125,-1.0004577000000001163471097243018448352813720703125
33,Henry,18065,43,89.6356207790000070190217229537665843963623046875,1,0.0413970369999999976418081359952338971197605133056640625,0,0.5,Blue (0 and 0.5),0.06950577400000000627411367304375744424760341644287109375,-2.8108737000000001415855876985006034374237060546875
34,Howard,18067,50,60.5737546040000012226300896145403385162353515625,1,0.04155942199999999864257205217654700390994548797607421875,0,0.5,Blue (0 and 0.5),0.0405278540000000020437909142856369726359844207763671875,0.10315680000000000682280898445242200978100299835205078125
35,Huntington,18069,25,68.4556407449999966274845064617693424224853515625,1,0.0163317549999999998833200010039945482276380062103271484375,0,0.5,Blue (0 and 0.5),0.060194854999999998501625242397494730539619922637939453125,-4.3863099000000005389665602706372737884521484375
36,Jackson,18071,33,74.6083063909999992802113411016762256622314453125,1,0.01945552999999999865821109779062680900096893310546875,0,0.5,Blue (0 and 0.5),0.02980934799999999940123274200232117436826229095458984375,-1.035381800000000129813315652427263557910919189453125
37,Jasper,18073,16,47.6729634710000027553178369998931884765625,1,0.02362166699999999897041647045625722967088222503662109375,0,0.5,Blue (0 and 0.5),0.027795593000000000383220566391173633746802806854248046875,-0.417392599999999946991380284089245833456516265869140625
38,Jay,18075,20,97.8665100799999976288745529018342494964599609375,1,0.0283779229999999993427906019860529340803623199462890625,0,0.5,Blue (0 and 0.5),0.0443697259999999982227336658979766070842742919921875,-1.599180299999999999016608853708021342754364013671875
39,Jefferson,18077,8,24.76166893599999951902645989321172237396240234375,1,0.0134704060000000007402132240486025693826377391815185546875,0,0.5,Blue (0 and 0.5),0.01514827699999999992275245830342100816778838634490966796875,-0.1677870999999999945817563684613560326397418975830078125
40,Jennings,18079,6,21.6333153060000000778018147684633731842041015625,1,0.0174825169999999995018580278838271624408662319183349609375,0,0.5,Blue (0 and 0.5),0.033691831999999997948602725728051154874265193939208984375,-1.620931499999999747529955129721201956272125244140625
41,Johnson,18081,96,60.6953409999999990986907505430281162261962890625,1,0.0260085520000000007534435297884556348435580730438232421875,0,0.5,Blue (0 and 0.5),0.030333327999999999680103002219766494818031787872314453125,-0.432477700000000020441603965082322247326374053955078125
42,Knox,18083,38,103.8421599170000035883276723325252532958984375,2,0.04153563999999999867274169673692085780203342437744140625,0,1,Yellow (1 and 1.5),0.044612802999999999487013013776959269307553768157958984375,-0.307716299999999998160404857117100618779659271240234375
43,Kosciusko,18085,62,78.030608134999994263125699944794178009033203125,1,0.06557147400000000458941684655655990354716777801513671875,1,1,Yellow (1 and 1.5),0.0228680459999999995124309037919374532066285610198974609375,4.27034290000000016362946553272195160388946533203125
44,Lagrange,18087,10,25.243600746999998563069311785511672496795654296875,1,0.062453597999999999057507693578372709453105926513671875,1,1,Yellow (1 and 1.5),0.03912005300000000185267623464824282564222812652587890625,2.333354499999999998038902049302123486995697021484375
45,Lake,18089,431,88.77573929999999791107256896793842315673828125,1,0.047957756999999996694317161427534301765263080596923828125,0,0.5,Blue (0 and 0.5),0.047315905999999997855187672257670783437788486480712890625,0.06418510000000000881303918731646263040602207183837890625
46,La Porte,18091,121,110.112114152999993166304193437099456787109375,2,0.0307703530000000002875282234526821412146091461181640625,0,1,Yellow (1 and 1.5),0.043864538000000001527478588059238973073661327362060546875,-1.3094186000000000991150272966478951275348663330078125
47,Lawrence,18093,12,26.449195503999998635435986216180026531219482421875,1,0.044760323999999997168774967803983599878847599029541015625,0,0.5,Blue (0 and 0.5),0.029403511000000000230603092177261714823544025421142578125,1.5356813000000000268840949502191506326198577880859375
48,Madison,18095,120,92.614745811000005915047950111329555511474609375,1,0.050195470999999998451546190381122869439423084259033203125,1,1,Yellow (1 and 1.5),0.04678672600000000070252781370072625577449798583984375,0.3408744999999999691908669774420559406280517578125
49,Marion,18097,789,81.79708930900000041219755075871944427490234375,1,0.046608296999999999921104887334877275861799716949462890625,0,0.5,Blue (0 and 0.5),0.047667167000000003340698384590723435394465923309326171875,-0.1058869000000000060168758864165283739566802978515625
50,Marshall,18099,28,60.5300704739999986259135766886174678802490234375,1,0.00639224400000000005095390775977648445405066013336181640625,0,0.5,Blue (0 and 0.5),0.0206997499999999994002575220974904368631541728973388671875,-1.4307505999999998724803162986063398420810699462890625
51,Martin,18101,5,48.756704046999999491163180209696292877197265625,1,0.050080067999999998418214630646616569720208644866943359375,1,1,Yellow (1 and 1.5),0.021793445000000001565698681815774762071669101715087890625,2.82866239999999979914946379722096025943756103515625
52,Miami,18103,14,39.4188534740000022793537937104701995849609375,1,0.016987121000000000858864979136342299170792102813720703125,0,0.5,Blue (0 and 0.5),0.0251433660000000003265085979364812374114990234375,-0.8156244999999999745199374956428073346614837646484375
53,Monroe,18105,225,151.585585221000002320579369552433490753173828125,2,0.03260622999999999993558930100334691815078258514404296875,0,1,Yellow (1 and 1.5),0.054500288000000000898648266911550308577716350555419921875,-2.18940580000000029059492590022273361682891845703125
54,Montgomery,18107,6,15.6502686630000003020768417627550661563873291015625,1,0.024799910000000001397690851945299073122441768646240234375,0,0.5,Blue (0 and 0.5),0.0280334790000000000365076857633539475500583648681640625,-0.32335700000000000553512791157118044793605804443359375
55,Morgan,18109,37,52.490459504000000379164703190326690673828125,1,0.03089719999999999966444619303729268722236156463623046875,0,0.5,Blue (0 and 0.5),0.0488920399999999977236342374453670345246791839599609375,-1.799483899999999803043237989186309278011322021484375
56,Newton,18111,5,35.755148740999999290579580701887607574462890625,1,0.0098157660000000000743991535046006902121007442474365234375,0,0.5,Blue (0 and 0.5),0.0695311339999999944438968668691813945770263671875,-5.97153679999999997818349584122188389301300048828125
57,Noble,18113,46,96.3471849870000056625940487720072269439697265625,1,0.054043180000000003160298689408591599203646183013916015625,1,1,Yellow (1 and 1.5),0.05394717000000000262094346226149355061352252960205078125,0.00960103581599999929274691368163985316641628742218017578125
58,Ohio,18115,3,51.063829787000003079810994677245616912841796875,1,0.036507936999999997251808991904908907599747180938720703125,0,0.5,Blue (0 and 0.5),0.0219155839999999983713774298621501657180488109588623046875,1.4592351999999999545565287917270325124263763427734375
59,Orange,18117,5,25.4504733790000017279453459195792675018310546875,1,0.0197788020000000015763408356406216626055538654327392578125,0,0.5,Blue (0 and 0.5),0.04286808300000000127027988128247670829296112060546875,-2.308928199999999986147258823621086776256561279296875
60,Owen,18119,6,28.847540747000000038724465412087738513946533203125,1,0.032194949999999999956656893118633888661861419677734375,0,0.5,Blue (0 and 0.5),0.01323509600000000001329691912133057485334575176239013671875,1.895985400000000264952859652112238109111785888671875
61,Parke,18121,13,76.7550333589999951300342218019068241119384765625,1,0.041998053999999999941206141329530510120093822479248046875,0,0.5,Blue (0 and 0.5),0.0264042279999999983386427260256823501549661159515380859375,1.5593825999999999520895244131679646670818328857421875
62,Perry,18123,14,73.0345870940000025939298211596906185150146484375,1,0.06806849500000000663391119815059937536716461181640625,1,1,Yellow (1 and 1.5),0.0015197570000000000522977217087827739305794239044189453125,6.65487379999999983937186698312871158123016357421875
63,Pike,18125,24,193.72023569300000644943793304264545440673828125,2,0.060829607000000000815997935887935454957187175750732421875,1,1.5,Yellow (1 and 1.5),0.08195800699999999938683004074846394360065460205078125,-2.112839999999999829327634870423935353755950927734375
64,Porter,18127,135,79.2304667549999948050754028372466564178466796875,1,0.054573560000000000125286447882899665273725986480712890625,1,1,Yellow (1 and 1.5),0.055986480999999997665295126125784008763730525970458984375,-0.1412921000000000038010483649486559443175792694091796875
65,Posey,18129,44,173.044401620000002139931893907487392425537109375,2,0.04791520600000000185136883601444424130022525787353515625,0,1,Yellow (1 and 1.5),0.0428254740000000022615012085225316695868968963623046875,0.5089732000000000144979139804490841925144195556640625
66,Pulaski,18131,3,24.285598639999999903693606029264628887176513671875,1,0.0091277890000000007353353481676094816066324710845947265625,0,0.5,Blue (0 and 0.5),0.0185439560000000003281428462287294678390026092529296875,-0.94161669999999997315853761392645537853240966796875
67,Putnam,18133,52,138.3862039599999889105674810707569122314453125,2,0.0534885400000000010845013775906409136950969696044921875,1,1.5,Yellow (1 and 1.5),0.09030205800000000448957138132755062542855739593505859375,-3.681351800000000284995849142433144152164459228515625
68,Randolph,18135,16,64.8692479219999995621037669479846954345703125,1,0.0090459500000000005182076989740380668081343173980712890625,0,0.5,Blue (0 and 0.5),0.0079092690000000000216662243701648549176752567291259765625,0.11366810000000000802078403694395092315971851348876953125
69,Ripley,18137,28,98.8560937719999941464266157709062099456787109375,1,0.00988673299999999997955679731376221752725541591644287109375,0,0.5,Blue (0 and 0.5),0.028154878000000001236902136270146002061665058135986328125,-1.8268145000000000077733375292154960334300994873046875
70,Rush,18139,6,36.18599601999999748613845440559089183807373046875,1,0.039712612000000001299948593214139691554009914398193359375,0,0.5,Blue (0 and 0.5),0.015198387000000000701671609704135335050523281097412109375,2.451422500000000059827698351000435650348663330078125
71,St. Joseph,18141,513,188.723668817999993052580975927412509918212890625,2,0.04577235400000000120623866450841887854039669036865234375,0,1,Yellow (1 and 1.5),0.0307479420000000003287965455456287600100040435791015625,1.50244119999999981018845573998987674713134765625
72,Scott,18143,36,150.797972605000012435993994586169719696044921875,2,0.06965074300000000107058184539710055105388164520263671875,1,1.5,Yellow (1 and 1.5),0.06364703200000000615776940549039863981306552886962890625,0.60037119999999999375717152361175976693630218505859375
73,Shelby,18145,15,33.535290304000000105588696897029876708984375,1,0.0176262369999999994607531306201053666882216930389404296875,0,0.5,Blue (0 and 0.5),0.0310283119999999988658512251049614860676229000091552734375,-1.3402074999999999960209606797434389591217041015625
74,Spencer,18147,48,236.721408491999994794241501949727535247802734375,3,0.1107645280000000009845706472333404235541820526123046875,2,2.5,Orange (2 and 2.5),0.04227815199999999939972639140250976197421550750732421875,6.8486375000000005996980689815245568752288818359375
75,Starke,18149,20,86.9754294410000028392460080794990062713623046875,1,0.07864590999999999942904338467997149564325809478759765625,1,1,Yellow (1 and 1.5),0.0111917049999999997089705772168599651195108890533447265625,6.74542050000000070753003456047736108303070068359375
76,Steuben,18151,19,54.92281898600000289434319711290299892425537109375,1,0.055330047000000000256836329981524613685905933380126953125,1,1,Yellow (1 and 1.5),0.092699220999999998316098981376853771507740020751953125,-3.736917399999999833681840755161829292774200439453125
77,Sullivan,18153,8,38.70530746499999708021277911029756069183349609375,1,0.01638441200000000097514174512980389408767223358154296875,0,0.5,Blue (0 and 0.5),0.0179277150000000003171596318907177192158997058868408203125,-0.15433039999999997871071855115587823092937469482421875
78,Switzerland,18155,0,0,0,0.0064935059999999995838937394410095294006168842315673828125,0,0,Blue (0 and 0.5),0.0203703699999999987557686154104885645210742950439453125,-1.3876863999999999865764266360201872885227203369140625
79,Tippecanoe,18157,303,154.80350683599999683792702853679656982421875,2,0.037569558000000002895291117965825833380222320556640625,0,1,Yellow (1 and 1.5),0.0295767309999999984670981945100720622576773166656494140625,0.79928269999999990158556784081156365573406219482421875
80,Tipton,18159,11,72.6168471090000053891344578005373477935791015625,1,0.0170202469999999987659844435938794049434363842010498046875,0,0.5,Blue (0 and 0.5),0.0160944119999999989134575884008881985209882259368896484375,0.09258349999999999913047332711357739754021167755126953125
81,Union,18161,2,28.352707683999998522494934150017797946929931640625,1,0.0238095239999999985780476663421723060309886932373046875,0,0.5,Blue (0 and 0.5),0.0064935059999999995838937394410095294006168842315673828125,1.7316016999999999104176140463096089661121368408203125
82,Vanderburgh,18163,400,220.445189059000000497690052725374698638916015625,3,0.050249986000000003427690131729832501150667667388916015625,1,2,Orange (2 and 2.5),0.0303204790000000008742819801454970729537308216094970703125,1.992950599999999905520553511450998485088348388671875
83,Vermillion,18165,5,32.262227383999999119623680599033832550048828125,1,0.016176690000000000513313835881490376777946949005126953125,0,0.5,Blue (0 and 0.5),0.05861850400000000183009518650578684173524379730224609375,-4.2441814000000004369894668343476951122283935546875
84,Vigo,18167,101,94.3590126870000034386976039968430995941162109375,1,0.0345958189999999998764934616701793856918811798095703125,0,0.5,Blue (0 and 0.5),0.04532761200000000323395710211116238497197628021240234375,-1.073179300000000058190607887809164822101593017578125
85,Wabash,18169,12,38.71467286099999682846828363835811614990234375,1,0.00716266599999999982462117742443297174759209156036376953125,0,0.5,Blue (0 and 0.5),0.0166219610000000010685550222433448652736842632293701171875,-0.9459294000000000313121972794760949909687042236328125
86,Warren,18171,2,24.198427102000000132875356939621269702911376953125,1,0,0,0.5,Blue (0 and 0.5),0,0
87,Warrick,18173,206,326.99450776200001200777478516101837158203125,3,0.0943528349999999960129315468293498270213603973388671875,1,2,Orange (2 and 2.5),0.04915334899999999895836566565776593051850795745849609375,4.51994859999999931687852949835360050201416015625
88,Washington,18175,11,39.235268939999997428458300419151782989501953125,1,0.06968343300000000295479907208573422394692897796630859375,1,1,Yellow (1 and 1.5),0.02833436400000000077170625445432960987091064453125,4.13490689999999982973122314433567225933074951171875
89,Wayne,18177,28,42.49893752700000248978540184907615184783935546875,1,0.03171730999999999855987198316142894327640533447265625,0,0.5,Blue (0 and 0.5),0.0258708300000000009088996222317291540093719959259033203125,0.584648000000000056530780057073570787906646728515625
90,Wells,18179,18,63.6132315520000020114821381866931915283203125,1,0.02401979099999999867076638793150777928531169891357421875,0,0.5,Blue (0 and 0.5),0.047137856999999998286465796581978793255984783172607421875,-2.311806600000000155858970174449495971202850341796875
91,White,18181,7,29.04323292699999825572376721538603305816650390625,1,0.00824670800000000016327650342873312183655798435211181640625,0,0.5,Blue (0 and 0.5),0.043065348000000003292342398708569817245006561279296875,-3.4818639999999998480006979661993682384490966796875
92,Whitley,18183,31,91.2731127079999993156889104284346103668212890625,1,0.030615781000000001632610491242303396575152873992919921875,0,0.5,Blue (0 and 0.5),0.047640858000000001204465860382697428576648235321044921875,-1.702507600000000120843424156191758811473846435546875
