_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Difference in Positivity
20,Elkhart,18039,338,163.806514458999998851140844635665416717529296875,2,0.06500541399999999747638668168292497284710407257080078125,1,1.5,Yellow (1 and 1.5),0.049689987999999997436706422604402177967131137847900390625,1.5315426000000000872347527547390200197696685791015625
21,Fayette,18041,7,30.30040689100000150801861309446394443511962890625,1,0.0187577639999999996878177199732817825861275196075439453125,0,0.5,Blue (0 and 0.5),0.021173669999999998603268380747977062128484249114990234375,-0.2415906000000000164451563477996387518942356109619140625
22,Floyd,18043,93,118.4381447239999971543511492200195789337158203125,2,0.054162403999999997328274048413732089102268218994140625,1,1.5,Yellow (1 and 1.5),0.033601414000000003057255781868661870248615741729736328125,2.056099000000000120991217045229859650135040283203125
23,Fountain,18045,11,67.2947510089999951787831378169357776641845703125,1,0.04768561500000000064058980342451832257211208343505859375,0,0.5,Blue (0 and 0.5),0.01895455399999999845928044805987155996263027191162109375,2.873106099999999774041725686402060091495513916015625
24,Franklin,18047,6,26.36435539200000022219683160074055194854736328125,1,0.040972956999999997351746827689566998742520809173583984375,0,0.5,Blue (0 and 0.5),0.07270611200000000329257687781137065030634403228759765625,-3.173315499999999733660160927684046328067779541015625
25,Fulton,18049,18,90.1171522979999934932493488304316997528076171875,1,0.03747435500000000085929485749147715978324413299560546875,0,0.5,Blue (0 and 0.5),0.01424319700000000084305629144409977016039192676544189453125,2.323115799999999619984691889840178191661834716796875
26,Gibson,18051,88,261.445675747999985105707310140132904052734375,3,0.12783787499999998971134118619374930858612060546875,2,2.5,Orange (2 and 2.5),0.060474037000000001318422704343902296386659145355224609375,6.73638389999999986912371241487562656402587890625
27,Grant,18053,67,101.8717024740000027804853743873536586761474609375,2,0.12102343299999999970406605598327587358653545379638671875,2,2,Orange (2 and 2.5),0.061644390999999999769531910942532704211771488189697265625,5.9379042000000001877424438134767115116119384765625
28,Greene,18055,15,46.989536995999998225670424290001392364501953125,1,0.026793666000000000704250879834944498725235462188720703125,0,0.5,Blue (0 and 0.5),0.054963554999999997274784391265711747109889984130859375,-2.81698879999999984846681400085799396038055419921875
29,Hamilton,18057,288,85.2043276699999978518462739884853363037109375,1,0.03910154400000000196602201185669400729238986968994140625,0,0.5,Blue (0 and 0.5),0.032519200999999997581113575506606139242649078369140625,0.65823430000000004991278501620399765670299530029296875
30,Hancock,18059,32,40.93746801799999701643173466436564922332763671875,1,0.040648939000000001986467879078190890140831470489501953125,0,0.5,Blue (0 and 0.5),0.044903959999999999708197861991720856167376041412353515625,-0.425502100000000049728754447642131708562374114990234375
31,Harrison,18061,44,108.6017524370000018052451196126639842987060546875,2,0.051245588000000001638323254837814602069556713104248046875,1,1.5,Yellow (1 and 1.5),0.058361589999999997913082694367403746582567691802978515625,-0.71160020000000001605400257176370359957218170166015625
32,Hendricks,18063,85,49.9086964440000002696251613087952136993408203125,1,0.036045076000000002280909683349818806163966655731201171875,0,0.5,Blue (0 and 0.5),0.031155676000000000203105088303345837630331516265869140625,0.48894000000000004124700581087381578981876373291015625
