_id,County,FIPS,Cases,Case Rate,Case Score,Positivity Rate,Positivity Score,County Score,County Score Color,Previous Positivity,Difference in Positivity
66,Pulaski,18131,59,477.616773253000019394676201045513153076171875,3,0.08718950899999999837319819562253542244434356689453125,1,2,Orange (2 and 2.5),0.082721725999999995426748000681982375681400299072265625,0.446778300000000017089263337766169570386409759521484375
67,Putnam,18133,74,196.93421332799999845519778318703174591064453125,2,0.06548691399999999329661903857413562946021556854248046875,1,1.5,Yellow (1 and 1.5),0.056456748000000001042053554556332528591156005859375,0.90301649999999999973709918776876293122768402099609375
68,Randolph,18135,207,839.2458949929999789674184285104274749755859375,3,0.07048041700000000353565354771490092389285564422607421875,1,2,Orange (2 and 2.5),0.055006484000000001322039366868921206332743167877197265625,1.5473934000000000299479552268167026340961456298828125
69,Ripley,18137,145,511.9333427479999727438553236424922943115234375,3,0.10838989899999999788615667739577475003898143768310546875,2,2.5,Orange (2 and 2.5),0.0688001609999999985678442726566572673618793487548828125,3.958973899999999712662202000501565635204315185546875
70,Rush,18139,69,416.1389542250000204148818738758563995361328125,3,0.0763749549999999943761253007323830388486385345458984375,1,2,Orange (2 and 2.5),0.080356541000000003549530447344295680522918701171875,-0.3981586999999999765265101814293302595615386962890625
71,St. Joseph,18141,1566,576.1038311270000349395559169352054595947265625,3,0.08031569700000000533446353756517055444419384002685546875,1,2,Orange (2 and 2.5),0.060208408999999997457397427069736295379698276519775390625,2.01072879999999987177261573378928005695343017578125
72,Scott,18143,69,289.0294474930000205858959816396236419677734375,3,0.08302817599999999520488103144089109264314174652099609375,1,2,Orange (2 and 2.5),0.07055899899999999724808930068320478312671184539794921875,1.24691770000000001772377800079993903636932373046875
73,Shelby,18145,225,503.02935455699997646661358885467052459716796875,3,0.123310964999999994606838527033687569200992584228515625,2,2.5,Orange (2 and 2.5),0.1549906649999999996847321881432435475289821624755859375,-3.167969999999999952677853798377327620983123779296875
74,Spencer,18147,93,458.64772895400000152221764437854290008544921875,3,0.070572420999999996293894355403608642518520355224609375,1,2,Orange (2 and 2.5),0.07714069899999999313511267473586485721170902252197265625,-0.6568278000000000726998905520304106175899505615234375
75,Starke,18149,88,382.6918895410000232004676945507526397705078125,3,0.116422301000000005810619541080086492002010345458984375,2,2.5,Orange (2 and 2.5),0.0877123979999999969781043773764395155012607574462890625,2.870990200000000047708681449876166880130767822265625
76,Steuben,18151,144,416.25715442000000621192157268524169921875,3,0.14536458299999999166374209380592219531536102294921875,2,2.5,Orange (2 and 2.5),0.09272672399999999648390058837321703322231769561767578125,5.2637859000000002396291165496222674846649169921875
77,Sullivan,18153,49,237.070008225000009360883268527686595916748046875,3,0.1043017029999999956135781076227431185543537139892578125,2,2.5,Orange (2 and 2.5),0.16253752799999998668312173322192393243312835693359375,-5.82358249999999966206587487249635159969329833984375
78,Switzerland,18155,43,399.96279415899999776229378767311573028564453125,3,0.04375636900000000328869731447412050329148769378662109375,0,1.5,Yellow (1 and 1.5),0.05825455200000000111071329911283100955188274383544921875,-1.449818300000000004246203388902358710765838623046875
79,Tippecanoe,18157,947,483.82482169500002555651008151471614837646484375,3,0.07256362500000000659294840943402959965169429779052734375,1,2,Orange (2 and 2.5),0.060957461999999996982158023683950887061655521392822265625,1.1606162999999998231004383342224173247814178466796875
80,Tipton,18159,57,376.2872986529999934646184556186199188232421875,3,0.12421667100000000072412831286783330142498016357421875,2,2.5,Orange (2 and 2.5),0.08676461800000000168520131182958721183240413665771484375,3.745205299999999848381548872566781938076019287109375
81,Union,18161,36,510.3487383049999834838672541081905364990234375,3,0.1757610440000000051607997875180444680154323577880859375,3,3,Red (3),0.227599677000000000237633912547607906162738800048828125,-5.1838633000000005068841346655972301959991455078125
82,Vanderburgh,18163,709,390.73909760800000867675407789647579193115234375,3,0.055881590000000001816626848949454142712056636810302734375,1,2,Orange (2 and 2.5),0.052676721000000002737007065434227115474641323089599609375,0.32048690000000001898428081403835676610469818115234375
83,Vermillion,18165,53,341.97961027200000216907938010990619659423828125,3,0.0778475690000000053458961701835505664348602294921875,1,2,Orange (2 and 2.5),0.0843067660000000052011870366186485625803470611572265625,-0.64591969999999998552908664350979961454868316650390625
