_id,County,FIPS,Cases,Case Rate,Cases Score,Positivity Rate,Positivity Score,County Score Two Meas.,County Score Color,Previous Positivity,Difference in Positivity
31,Harrison,18061,28,69.110206099999999196370481513440608978271484375,1,0.06252745299999999673001838118580053560435771942138671875,1,1,Yellow (1 and 1.5),0.056958240999999999731873145947247394360601902008056640625,0.5569211000000000577614400754100643098354339599609375
32,Hendricks,18063,101,59.30327460000000172612999449484050273895263671875,1,0.03821555799999999669669392687865183688700199127197265625,0,0.5,Blue (0 and 0.5),0.03948121500000000005936584557275637052953243255615234375,-0.126565700000000003200284481863491237163543701171875
33,Henry,18065,62,129.242057899999991832373780198395252227783203125,2,0.0736030550000000005628209009955753572285175323486328125,1,1.5,Yellow (1 and 1.5),0.062189847999999998962028513460609246976673603057861328125,1.1413206000000000184257942237309180200099945068359375
34,Howard,18067,48,58.1508044200000000500949681736528873443603515625,1,0.0403693990000000002549285227360087446868419647216796875,0,0.5,Blue (0 and 0.5),0.06286940100000000530844346258163568563759326934814453125,-2.250000200000000116773435365757904946804046630859375
35,Huntington,18069,27,73.9320919999999972560544847510755062103271484375,1,0.063099141999999996954784364788793027400970458984375,1,1,Yellow (1 and 1.5),0.034314777999999997171176602250852738507091999053955078125,2.8784364000000000061163518694229423999786376953125
36,Jackson,18071,19,42.9562976200000008475399226881563663482666015625,1,0.042836770000000003177920149255442083813250064849853515625,0,0.5,Blue (0 and 0.5),0.0192557219999999994219930243843919015489518642425537109375,2.35810489999999983723455443396233022212982177734375
37,Jasper,18073,12,35.75472260000000090940375230275094509124755859375,1,0.0283188979999999985992520379340930958278477191925048828125,0,0.5,Blue (0 and 0.5),0.0245533990000000000575308689576559117995202541351318359375,0.37654989999999999294999497578828595578670501708984375
38,Jay,18075,18,88.0798590699999977005063556134700775146484375,1,0.033477632999999999696694175099764834158122539520263671875,0,0.5,Blue (0 and 0.5),0.0159056700000000002248601305154807050712406635284423828125,1.757196299999999933305616650613956153392791748046875
39,Jefferson,18077,12,37.1425034100000033276955946348607540130615234375,1,0.0164813439999999984675316255788857233710587024688720703125,0,0.5,Blue (0 and 0.5),0.019624319000000001178563024950562976300716400146484375,-0.314297600000000010300738040314172394573688507080078125
40,Jennings,18079,6,21.63331531000000040876329876482486724853515625,1,0.03213270499999999751938872805112623609602451324462890625,0,0.5,Blue (0 and 0.5),0.0264962520000000013864482895087348879314959049224853515625,0.5636452999999999047275878183427266776561737060546875
41,Johnson,18081,95,60.06309787000000000034560798667371273040771484375,1,0.034254077000000000829960100645621423609554767608642578125,0,0.5,Blue (0 and 0.5),0.0273557219999999989834549296574550680816173553466796875,0.68983550000000004587263902067206799983978271484375
