_id,County,FIPS,Cases,Case Rate,Case Score,Positivity Rate,Positivity Score,County Score,Count Score Color,Previous Positivity,Pos Difference
25,Fulton,18049,14,70.0909999999999939745976007543504238128662109375,1,0.0648100000000000064925842480079154483973979949951171875,1,1,Yellow (1 and 1.5),0.0288600000000000002364775042451583431102335453033447265625,0.035950000000000002786659791809142916463315486907958984375
26,Gibson,18051,49,145.578000000000002955857780762016773223876953125,2,0.05462999999999999800603944777321885339915752410888671875,1,1.5,Yellow (1 and 1.5),0.019990000000000000823785484271866152994334697723388671875,0.034630000000000001059152765492399339564144611358642578125
27,Grant,18053,79,120.1170000000000044337866711430251598358154296875,2,0.0827299999999999979838349872807157225906848907470703125,1,1.5,Yellow (1 and 1.5),0.0835100000000000008970602038971264846622943878173828125,-0.000779999999999999985879350905548790251486934721469879150390625
28,Greene,18055,18,56.38700000000000045474735088646411895751953125,1,0.016519999999999999962252417162744677625596523284912109375,0,0.5,Blue (0 and 0.5),0.04517000000000000181632486828675610013306140899658203125,-0.0286499999999999983846254991703972336836159229278564453125
29,Hamilton,18057,318,94.0799999999999982946974341757595539093017578125,1,0.05229999999999999926725280374739668332040309906005859375,1,1,Yellow (1 and 1.5),0.049599999999999998256949851338504231534898281097412109375,0.002700000000000000142941214420488904579542577266693115234375
30,Hancock,18059,39,49.893000000000000682121026329696178436279296875,1,0.020850000000000000477395900588817312382161617279052734375,0,0.5,Blue (0 and 0.5),0.039829999999999997351007863244376494549214839935302734375,-0.0189800000000000003430589146091733709909021854400634765625
31,Harrison,18061,21,51.832999999999998408384271897375583648681640625,1,0.05702000000000000123900889548167469911277294158935546875,1,1,Yellow (1 and 1.5),0.045379999999999996729282969454288831911981105804443359375,0.01163999999999999930555549809696458396501839160919189453125
32,Hendricks,18063,102,59.8900000000000005684341886080801486968994140625,1,0.039019999999999999129585148693877272307872772216796875,0,0.5,Blue (0 and 0.5),0.057470000000000000250910403565285378135740756988525390625,-0.018450000000000001121325254871408105827867984771728515625
33,Henry,18065,46,95.8889999999999957935870043002068996429443359375,1,0.07333000000000000628830321147688664495944976806640625,1,1,Yellow (1 and 1.5),0.0737899999999999944844120136622223071753978729248046875,-0.000460000000000000013912482277333992897183634340763092041015625
34,Howard,18067,78,94.4950000000000045474735088646411895751953125,1,0.06469999999999999362731983865160145796835422515869140625,1,1,Yellow (1 and 1.5),0.04861000000000000043076653355456073768436908721923828125,0.016090000000000000135447209004269097931683063507080078125
35,Huntington,18069,19,52.02600000000000335376171278767287731170654296875,1,0.034450000000000001454392162258955067954957485198974609375,0,0.5,Blue (0 and 0.5),0.01252999999999999947153384027842548675835132598876953125,0.0219199999999999985134113700269153923727571964263916015625
36,Jackson,18071,9,20.3479999999999989768184605054557323455810546875,1,0.0205000000000000008604228440844963188283145427703857421875,0,0.5,Blue (0 and 0.5),0.02366000000000000047517545453956699930131435394287109375,-0.0031600000000000000484334794492724540759809315204620361328125
37,Jasper,18073,25,74.489000000000004320099833421409130096435546875,1,0.02380000000000000170974345792274107225239276885986328125,0,0.5,Blue (0 and 0.5),0.026689999999999998447908211574031156487762928009033203125,-0.00289999999999999980015985556747182272374629974365234375
38,Jay,18075,11,53.826999999999998181010596454143524169921875,1,0.031410000000000000419664303308309172280132770538330078125,0,0.5,Blue (0 and 0.5),0.0294500000000000004829470157119430950842797756195068359375,0.0019499999999999999104882686395967539283446967601776123046875
39,Jefferson,18077,9,27.856999999999999317878973670303821563720703125,1,0.0183999999999999996891375531049561686813831329345703125,0,0.5,Blue (0 and 0.5),0.0548700000000000021049828546892968006432056427001953125,-0.036470000000000002415845301584340631961822509765625
40,Jennings,18079,22,79.3220000000000027284841053187847137451171875,1,0.017809999999999999442668041638171416707336902618408203125,0,0.5,Blue (0 and 0.5),0.04460999999999999687805285475405980832874774932861328125,-0.0268100000000000004973799150320701301097869873046875
41,Johnson,18081,120,75.868999999999999772626324556767940521240234375,1,0.034380000000000000837108160567368031479418277740478515625,0,0.5,Blue (0 and 0.5),0.037929999999999998439026427377029904164373874664306640625,-0.003550000000000000204003480774872514302842319011688232421875
42,Knox,18083,56,153.03100000000000591171556152403354644775390625,2,0.08770999999999999630073688194897840730845928192138671875,1,1.5,Yellow (1 and 1.5),0.08902000000000000190514271025676862336695194244384765625,-0.0013099999999999999665545313831671592197380959987640380859375
43,Kosciusko,18085,57,71.73799999999999954525264911353588104248046875,1,0.1193599999999999938804506882661371491849422454833984375,2,1.5,Yellow (1 and 1.5),0.07588999999999999912514425659537664614617824554443359375,0.043470000000000001694200335577988880686461925506591796875
44,Lagrange,18087,8,20.19500000000000028421709430404007434844970703125,1,0.06815000000000000224265050974281621165573596954345703125,1,1,Yellow (1 and 1.5),0.06710000000000000686117829218346741981804370880126953125,0.00104999999999999993512134199846741466899402439594268798828125
45,Lake,18089,359,73.94499999999999317878973670303821563720703125,1,0.061949999999999998123723088383485446684062480926513671875,1,1,Yellow (1 and 1.5),0.056790000000000000202060590481778490357100963592529296875,0.00515999999999999965638597387851405073888599872589111328125
46,La Porte,18091,81,73.7109999999999985220711096189916133880615234375,1,0.029800000000000000099920072216264088638126850128173828125,0,0.5,Blue (0 and 0.5),0.031410000000000000419664303308309172280132770538330078125,-0.00161000000000000010290379659494419684051536023616790771484375
47,Lawrence,18093,13,28.65299999999999869260136620141565799713134765625,1,0.0286700000000000010391687510491465218365192413330078125,0,0.5,Blue (0 and 0.5),0.066879999999999995008437281285296194255352020263671875,-0.038210000000000000908162434143378050066530704498291015625
48,Madison,18095,88,67.917000000000001591615728102624416351318359375,1,0.07460999999999999576782983012890326790511608123779296875,1,1,Yellow (1 and 1.5),0.0709400000000000030553337637684307992458343505859375,0.0036600000000000000588418203051332966424524784088134765625
49,Marion,18097,908,94.1340000000000003410605131648480892181396484375,1,0.05104999999999999815702977912224014289677143096923828125,1,1,Yellow (1 and 1.5),0.056149999999999998523403377248541801236569881439208984375,-0.005100000000000000366373598126301658339798450469970703125
50,Marshall,18099,35,75.6629999999999967030817060731351375579833984375,1,0.0231699999999999996236343946520719327963888645172119140625,0,0.5,Blue (0 and 0.5),0.015800000000000001543210004228967591188848018646240234375,0.007380000000000000275057754350882532889954745769500732421875
51,Martin,18101,19,185.275000000000005684341886080801486968994140625,2,0.09328999999999999792610339000020758248865604400634765625,1,1.5,Yellow (1 and 1.5),0.1286400000000000043431924723336123861372470855712890625,-0.035349999999999999478195178426176426000893115997314453125
52,Miami,18103,72,202.7259999999999990905052982270717620849609375,3,0.043900000000000001521005543736464460380375385284423828125,0,1.5,Yellow (1 and 1.5),0.033489999999999998936406342409100034274160861968994140625,0.01042000000000000044242387531312488135881721973419189453125
53,Monroe,18105,535,360.4370000000000118234311230480670928955078125,3,0.09779999999999999804600747665972448885440826416015625,1,2,Orange (2 and 2.5),0.06901000000000000189626092605976737104356288909912109375,0.0287899999999999996191935025535713066346943378448486328125
54,Montgomery,18107,26,67.8179999999999978399500832892954349517822265625,1,0.019779999999999998971933479197105043567717075347900390625,0,0.5,Blue (0 and 0.5),0.05229999999999999926725280374739668332040309906005859375,-0.032520000000000000295319324550291639752686023712158203125
55,Morgan,18109,42,59.58400000000000318323145620524883270263671875,1,0.047089999999999999913402604079237789846956729888916015625,0,0.5,Blue (0 and 0.5),0.04073000000000000231370478331882623024284839630126953125,0.006360000000000000201783034725622201221995055675506591796875
56,Newton,18111,8,57.207999999999998408384271897375583648681640625,1,0.0168699999999999995792254736670656711794435977935791015625,0,0.5,Blue (0 and 0.5),0.038999999999999999944488848768742172978818416595458984375,-0.022139999999999999957811525064244051463901996612548828125
57,Noble,18113,18,37.70100000000000051159076974727213382720947265625,1,0.0289100000000000016686652060116102802567183971405029296875,0,0.5,Blue (0 and 0.5),0.06350999999999999701127961770907859317958354949951171875,-0.0346100000000000018740564655672642402350902557373046875
58,Ohio,18115,1,17.0210000000000007958078640513122081756591796875,1,0,0,0.5,Blue (0 and 0.5),0.01786000000000000087485574340462335385382175445556640625,-0.01786000000000000087485574340462335385382175445556640625
59,Orange,18117,16,81.4419999999999930651028989814221858978271484375,1,0.0235299999999999988331556011189604760147631168365478515625,0,0.5,Blue (0 and 0.5),0.043979999999999998261390743437004857696592807769775390625,-0.0204499999999999994282351423180443816818296909332275390625
