_id,location_id,m1e_covid_cases,m1e_covid_deaths,m1e_covid_tests,county_name
9884,18153,0,0,0,Sullivan
9885,18153,0,0,0,Sullivan
9886,18153,0,0,0,Sullivan
9887,18153,0,0,0,Sullivan
9888,18153,0,0,0,Sullivan
9889,18153,0,0,0,Sullivan
9890,18153,0,0,0,Sullivan
9891,18153,0,0,0,Sullivan
9892,18153,0,0,0,Sullivan
9893,18153,0,0,0,Sullivan
9894,18153,0,0,0,Sullivan
9895,18153,0,0,0,Sullivan
9896,18153,0,0,1,Sullivan
9897,18153,0,0,1,Sullivan
9898,18153,0,0,1,Sullivan
9899,18153,0,0,0,Sullivan
9900,18153,0,0,0,Sullivan
9901,18153,0,0,1,Sullivan
9902,18153,0,0,1,Sullivan
9903,18153,1,0,4,Sullivan
9904,18153,0,0,1,Sullivan
9905,18153,0,0,2,Sullivan
9906,18153,0,0,2,Sullivan
9907,18153,0,0,3,Sullivan
9908,18153,0,0,3,Sullivan
9909,18153,0,0,2,Sullivan
9910,18153,1,0,3,Sullivan
9911,18153,1,0,5,Sullivan
9912,18153,0,0,2,Sullivan
9913,18153,0,0,3,Sullivan
9914,18153,0,0,5,Sullivan
9915,18153,0,0,2,Sullivan
9916,18153,0,0,1,Sullivan
9917,18153,0,0,3,Sullivan
9918,18153,1,0,4,Sullivan
9919,18153,0,0,6,Sullivan
9920,18153,0,0,3,Sullivan
9921,18153,1,0,4,Sullivan
9922,18153,1,0,1,Sullivan
9923,18153,0,0,2,Sullivan
9924,18153,0,0,7,Sullivan
9925,18153,0,0,5,Sullivan
9926,18153,1,0,4,Sullivan
9927,18153,0,0,10,Sullivan
9928,18153,0,0,10,Sullivan
9929,18153,1,0,4,Sullivan
9930,18153,1,0,3,Sullivan
9931,18153,1,0,14,Sullivan
9932,18153,0,0,8,Sullivan
9933,18153,0,0,9,Sullivan
9934,18153,1,0,9,Sullivan
9935,18153,0,0,4,Sullivan
9936,18153,0,0,3,Sullivan
9937,18153,0,0,6,Sullivan
9938,18153,0,0,10,Sullivan
9939,18153,5,0,6,Sullivan
9940,18153,0,0,7,Sullivan
9941,18153,0,0,6,Sullivan
9942,18153,0,0,10,Sullivan
9943,18153,0,0,5,Sullivan
9944,18153,0,0,2,Sullivan
9945,18153,0,0,12,Sullivan
9946,18153,0,0,12,Sullivan
9947,18153,2,0,11,Sullivan
9948,18153,0,0,10,Sullivan
9949,18153,1,0,24,Sullivan
9950,18153,1,0,8,Sullivan
9951,18153,0,0,1,Sullivan
9952,18153,0,0,16,Sullivan
9953,18153,2,0,24,Sullivan
9954,18153,2,0,15,Sullivan
9955,18153,1,0,183,Sullivan
9956,18153,0,0,124,Sullivan
9957,18153,2,0,48,Sullivan
9958,18153,0,0,42,Sullivan
9959,18153,0,1,22,Sullivan
9960,18153,1,0,21,Sullivan
9961,18153,1,0,16,Sullivan
9962,18153,1,0,12,Sullivan
9963,18153,0,0,13,Sullivan
9964,18153,1,0,4,Sullivan
9965,18153,0,0,5,Sullivan
9966,18153,0,0,0,Sullivan
9967,18153,1,0,20,Sullivan
9968,18153,1,0,11,Sullivan
9969,18153,0,0,8,Sullivan
9970,18153,1,0,33,Sullivan
9971,18153,1,0,2,Sullivan
9972,18153,0,0,2,Sullivan
9973,18153,0,0,28,Sullivan
9974,18153,1,0,8,Sullivan
9975,18153,0,0,18,Sullivan
9976,18153,0,0,15,Sullivan
9977,18153,0,0,20,Sullivan
9978,18153,1,0,13,Sullivan
9979,18153,1,0,4,Sullivan
9980,18153,0,0,32,Sullivan
9981,18153,0,0,31,Sullivan
9982,18153,2,0,36,Sullivan
9983,18153,0,0,33,Sullivan
9984,18153,0,0,85,Sullivan
9985,18153,0,0,17,Sullivan
9986,18153,0,0,2,Sullivan
9987,18153,0,0,34,Sullivan
9988,18153,0,0,38,Sullivan
9989,18153,0,0,23,Sullivan
9990,18153,0,0,12,Sullivan
9991,18153,0,0,23,Sullivan
9992,18153,0,0,2,Sullivan
9993,18153,0,0,1,Sullivan
9994,18153,0,0,21,Sullivan
9995,18153,0,0,16,Sullivan
9996,18153,0,0,14,Sullivan
9997,18153,3,0,18,Sullivan
9998,18153,1,0,28,Sullivan
9999,18153,0,0,7,Sullivan
10000,18153,0,0,2,Sullivan
10001,18153,0,0,18,Sullivan
10002,18153,0,0,13,Sullivan
10003,18153,0,0,8,Sullivan
10004,18153,0,0,15,Sullivan
10005,18153,0,0,5,Sullivan
10006,18153,0,0,0,Sullivan
10007,18153,1,0,2,Sullivan
10008,18153,0,0,8,Sullivan
10009,18153,0,0,5,Sullivan
10010,18153,0,0,0,Sullivan
10011,18155,0,0,0,Switzerland
10012,18155,0,0,0,Switzerland
10013,18155,0,0,0,Switzerland
10014,18155,0,0,0,Switzerland
10015,18155,0,0,0,Switzerland
10016,18155,0,0,0,Switzerland
10017,18155,0,0,0,Switzerland
10018,18155,0,0,0,Switzerland
10019,18155,0,0,0,Switzerland
10020,18155,0,0,0,Switzerland
10021,18155,0,0,0,Switzerland
10022,18155,0,0,0,Switzerland
10023,18155,0,0,1,Switzerland
10024,18155,0,0,0,Switzerland
10025,18155,0,0,1,Switzerland
10026,18155,0,0,0,Switzerland
10027,18155,0,0,0,Switzerland
10028,18155,0,0,0,Switzerland
10029,18155,0,0,1,Switzerland
10030,18155,0,0,0,Switzerland
10031,18155,0,0,2,Switzerland
10032,18155,0,0,0,Switzerland
10033,18155,0,0,0,Switzerland
10034,18155,0,0,1,Switzerland
10035,18155,0,0,0,Switzerland
10036,18155,0,0,3,Switzerland
10037,18155,1,0,0,Switzerland
10038,18155,2,0,1,Switzerland
10039,18155,0,0,0,Switzerland
10040,18155,0,0,4,Switzerland
10041,18155,0,0,6,Switzerland
10042,18155,1,0,8,Switzerland
10043,18155,2,0,7,Switzerland
10044,18155,1,0,2,Switzerland
10045,18155,1,0,1,Switzerland
10046,18155,2,0,0,Switzerland
10047,18155,0,0,5,Switzerland
10048,18155,0,0,4,Switzerland
10049,18155,2,0,6,Switzerland
10050,18155,0,0,0,Switzerland
10051,18155,0,0,6,Switzerland
10052,18155,0,0,0,Switzerland
10053,18155,0,0,1,Switzerland
10054,18155,0,0,10,Switzerland
10055,18155,0,0,3,Switzerland
10056,18155,0,0,3,Switzerland
10057,18155,0,0,6,Switzerland
10058,18155,1,0,5,Switzerland
10059,18155,0,0,0,Switzerland
10060,18155,0,0,1,Switzerland
10061,18155,0,0,12,Switzerland
10062,18155,0,0,6,Switzerland
10063,18155,1,0,4,Switzerland
10064,18155,0,0,9,Switzerland
10065,18155,0,0,3,Switzerland
10066,18155,0,0,0,Switzerland
10067,18155,0,0,2,Switzerland
10068,18155,0,0,6,Switzerland
10069,18155,0,0,4,Switzerland
10070,18155,0,0,4,Switzerland
10071,18155,0,0,9,Switzerland
10072,18155,0,0,3,Switzerland
10073,18155,0,0,1,Switzerland
10074,18155,0,0,0,Switzerland
10075,18155,0,0,4,Switzerland
10076,18155,0,0,3,Switzerland
10077,18155,0,0,2,Switzerland
10078,18155,0,0,5,Switzerland
10079,18155,0,0,9,Switzerland
10080,18155,0,0,1,Switzerland
10081,18155,0,0,0,Switzerland
10082,18155,0,0,7,Switzerland
10083,18155,0,0,11,Switzerland
10084,18155,0,0,6,Switzerland
10085,18155,1,0,5,Switzerland
10086,18155,2,0,9,Switzerland
10087,18155,0,0,1,Switzerland
10088,18155,1,0,1,Switzerland
10089,18155,0,0,11,Switzerland
10090,18155,0,0,3,Switzerland
10091,18155,0,0,4,Switzerland
10092,18155,1,0,3,Switzerland
10093,18155,0,0,10,Switzerland
10094,18155,0,0,2,Switzerland
10095,18155,0,0,1,Switzerland
10096,18155,0,0,0,Switzerland
10097,18155,0,0,19,Switzerland
10098,18155,0,0,5,Switzerland
10099,18155,1,0,1,Switzerland
10100,18155,0,0,11,Switzerland
10101,18155,0,0,4,Switzerland
10102,18155,0,0,0,Switzerland
10103,18155,1,0,6,Switzerland
10104,18155,0,0,3,Switzerland
10105,18155,0,0,4,Switzerland
10106,18155,0,0,5,Switzerland
10107,18155,0,0,2,Switzerland
10108,18155,0,0,3,Switzerland
10109,18155,0,0,3,Switzerland
10110,18155,0,0,10,Switzerland
10111,18155,0,0,6,Switzerland
10112,18155,0,0,7,Switzerland
10113,18155,1,0,17,Switzerland
10114,18155,0,0,44,Switzerland
10115,18155,0,0,1,Switzerland
10116,18155,0,0,2,Switzerland
10117,18155,0,0,15,Switzerland
10118,18155,0,0,8,Switzerland
10119,18155,0,0,11,Switzerland
10120,18155,0,0,3,Switzerland
10121,18155,0,0,21,Switzerland
10122,18155,0,0,2,Switzerland
10123,18155,1,0,0,Switzerland
10124,18155,0,0,13,Switzerland
10125,18155,0,0,5,Switzerland
10126,18155,0,0,2,Switzerland
10127,18155,0,0,2,Switzerland
10128,18155,1,0,10,Switzerland
10129,18155,0,0,2,Switzerland
10130,18155,0,0,0,Switzerland
10131,18155,0,0,8,Switzerland
10132,18155,1,0,1,Switzerland
10133,18155,1,0,4,Switzerland
10134,18155,0,0,3,Switzerland
10135,18155,0,0,1,Switzerland
10136,18155,1,0,2,Switzerland
10137,18155,0,0,0,Switzerland
10138,18155,0,0,4,Switzerland
10139,18155,1,0,0,Switzerland
10140,18155,0,0,0,Switzerland
10141,18157,0,0,0,Tippecanoe
10142,18157,0,0,0,Tippecanoe
10143,18157,0,0,0,Tippecanoe
10144,18157,0,0,1,Tippecanoe
10145,18157,0,0,0,Tippecanoe
10146,18157,0,0,1,Tippecanoe
10147,18157,0,0,0,Tippecanoe
10148,18157,0,0,0,Tippecanoe
10149,18157,0,0,0,Tippecanoe
10150,18157,0,0,0,Tippecanoe
10151,18157,0,0,2,Tippecanoe
10152,18157,0,0,4,Tippecanoe
10153,18157,0,0,4,Tippecanoe
10154,18157,0,0,1,Tippecanoe
10155,18157,0,0,1,Tippecanoe
10156,18157,0,0,12,Tippecanoe
10157,18157,0,0,7,Tippecanoe
10158,18157,1,0,17,Tippecanoe
10159,18157,1,0,41,Tippecanoe
10160,18157,0,0,22,Tippecanoe
10161,18157,0,0,13,Tippecanoe
10162,18157,0,0,13,Tippecanoe
10163,18157,1,0,45,Tippecanoe
10164,18157,1,0,33,Tippecanoe
10165,18157,2,0,44,Tippecanoe
10166,18157,2,0,60,Tippecanoe
10167,18157,3,1,39,Tippecanoe
10168,18157,0,0,30,Tippecanoe
10169,18157,2,0,26,Tippecanoe
10170,18157,0,0,46,Tippecanoe
10171,18157,4,0,65,Tippecanoe
10172,18157,1,0,53,Tippecanoe
10173,18157,8,0,44,Tippecanoe
10174,18157,2,0,73,Tippecanoe
10175,18157,1,0,34,Tippecanoe
10176,18157,5,0,9,Tippecanoe
10177,18157,1,0,36,Tippecanoe
10178,18157,3,0,45,Tippecanoe
10179,18157,2,0,59,Tippecanoe
10180,18157,1,0,50,Tippecanoe
10181,18157,1,0,63,Tippecanoe
10182,18157,3,0,18,Tippecanoe
10183,18157,1,0,22,Tippecanoe
10184,18157,0,0,30,Tippecanoe
10185,18157,0,1,55,Tippecanoe
10186,18157,2,0,48,Tippecanoe
10187,18157,3,0,81,Tippecanoe
10188,18157,3,0,64,Tippecanoe
10189,18157,1,0,29,Tippecanoe
10190,18157,1,0,21,Tippecanoe
10191,18157,1,0,53,Tippecanoe
10192,18157,0,0,61,Tippecanoe
10193,18157,3,0,47,Tippecanoe
10194,18157,2,0,40,Tippecanoe
10195,18157,7,0,22,Tippecanoe
10196,18157,4,0,12,Tippecanoe
10197,18157,16,0,33,Tippecanoe
10198,18157,5,0,74,Tippecanoe
10199,18157,7,0,88,Tippecanoe
10200,18157,8,0,172,Tippecanoe
10201,18157,5,0,295,Tippecanoe
10202,18157,5,0,497,Tippecanoe
10203,18157,35,0,50,Tippecanoe
10204,18157,28,0,51,Tippecanoe
10205,18157,7,0,125,Tippecanoe
10206,18157,7,0,130,Tippecanoe
10207,18157,3,0,263,Tippecanoe
10208,18157,5,0,319,Tippecanoe
10209,18157,20,0,209,Tippecanoe
10210,18157,5,0,168,Tippecanoe
10211,18157,10,0,26,Tippecanoe
10212,18157,5,0,192,Tippecanoe
10213,18157,15,0,198,Tippecanoe
10214,18157,7,1,147,Tippecanoe
10215,18157,12,0,140,Tippecanoe
10216,18157,10,0,197,Tippecanoe
10217,18157,10,0,72,Tippecanoe
10218,18157,6,0,36,Tippecanoe
10219,18157,5,0,266,Tippecanoe
10220,18157,18,0,200,Tippecanoe
10221,18157,9,0,177,Tippecanoe
10222,18157,5,0,142,Tippecanoe
10223,18157,8,1,174,Tippecanoe
10224,18157,14,0,103,Tippecanoe
10225,18157,3,0,52,Tippecanoe
10226,18157,2,0,59,Tippecanoe
10227,18157,7,0,140,Tippecanoe
