_id,COUNTY_NAME,DATE,COVID_COUNT,COVID_DEATHS,COVID_TEST
241,BARTHOLOMEW,2020-04-14T00:00:00,4,1,26
242,BARTHOLOMEW,2020-04-15T00:00:00,2,0,46
243,BARTHOLOMEW,2020-04-16T00:00:00,12,1,31
244,BARTHOLOMEW,2020-04-17T00:00:00,2,1,32
245,BARTHOLOMEW,2020-04-18T00:00:00,5,0,11
246,BARTHOLOMEW,2020-04-19T00:00:00,4,0,3
247,BARTHOLOMEW,2020-04-20T00:00:00,0,0,17
248,BARTHOLOMEW,2020-04-21T00:00:00,7,1,14
249,BARTHOLOMEW,2020-04-22T00:00:00,17,0,10
250,BARTHOLOMEW,2020-04-23T00:00:00,12,1,9
251,BARTHOLOMEW,2020-04-24T00:00:00,23,1,10
252,BARTHOLOMEW,2020-04-25T00:00:00,9,0,1
253,BARTHOLOMEW,2020-04-26T00:00:00,27,0,43
254,BARTHOLOMEW,2020-04-27T00:00:00,4,1,47
255,BARTHOLOMEW,2020-04-28T00:00:00,3,1,40
256,BARTHOLOMEW,2020-04-29T00:00:00,9,0,36
257,BARTHOLOMEW,2020-04-30T00:00:00,10,1,36
258,BARTHOLOMEW,2020-05-01T00:00:00,5,1,52
259,BARTHOLOMEW,2020-05-02T00:00:00,2,0,62
260,BARTHOLOMEW,2020-05-03T00:00:00,0,2,48
261,BARTHOLOMEW,2020-05-04T00:00:00,31,3,25
262,BARTHOLOMEW,2020-05-05T00:00:00,16,1,50
263,BARTHOLOMEW,2020-05-06T00:00:00,3,2,85
264,BARTHOLOMEW,2020-05-07T00:00:00,15,2,65
265,BARTHOLOMEW,2020-05-08T00:00:00,10,2,76
266,BARTHOLOMEW,2020-05-09T00:00:00,4,1,21
267,BARTHOLOMEW,2020-05-10T00:00:00,10,2,6
268,BARTHOLOMEW,2020-05-11T00:00:00,11,1,128
269,BARTHOLOMEW,2020-05-12T00:00:00,4,0,95
270,BARTHOLOMEW,2020-05-13T00:00:00,11,2,86
271,BARTHOLOMEW,2020-05-14T00:00:00,12,1,89
272,BARTHOLOMEW,2020-05-15T00:00:00,13,2,76
273,BARTHOLOMEW,2020-05-16T00:00:00,12,0,15
274,BARTHOLOMEW,2020-05-17T00:00:00,11,0,5
275,BARTHOLOMEW,2020-05-18T00:00:00,9,0,72
276,BARTHOLOMEW,2020-05-19T00:00:00,9,0,83
277,BARTHOLOMEW,2020-05-20T00:00:00,4,0,74
278,BARTHOLOMEW,2020-05-21T00:00:00,4,0,54
279,BARTHOLOMEW,2020-05-22T00:00:00,12,0,69
280,BARTHOLOMEW,2020-05-23T00:00:00,8,0,16
281,BARTHOLOMEW,2020-05-24T00:00:00,6,0,5
282,BARTHOLOMEW,2020-05-25T00:00:00,1,0,9
283,BARTHOLOMEW,2020-05-26T00:00:00,5,1,73
284,BARTHOLOMEW,2020-05-27T00:00:00,3,0,52
285,BARTHOLOMEW,2020-05-28T00:00:00,9,0,45
286,BARTHOLOMEW,2020-05-29T00:00:00,9,0,78
287,BARTHOLOMEW,2020-05-30T00:00:00,3,1,15
288,BARTHOLOMEW,2020-05-31T00:00:00,5,0,6
289,BARTHOLOMEW,2020-06-01T00:00:00,4,1,83
290,BARTHOLOMEW,2020-06-02T00:00:00,1,0,40
291,BARTHOLOMEW,2020-06-03T00:00:00,4,1,48
292,BARTHOLOMEW,2020-06-04T00:00:00,5,1,33
293,BARTHOLOMEW,2020-06-05T00:00:00,1,0,3
294,BARTHOLOMEW,2020-06-06T00:00:00,2,0,0
295,BENTON,2020-02-29T00:00:00,0,0,0
296,BENTON,2020-03-02T00:00:00,0,0,0
297,BENTON,2020-03-03T00:00:00,0,0,0
298,BENTON,2020-03-04T00:00:00,0,0,0
299,BENTON,2020-03-05T00:00:00,0,0,0
300,BENTON,2020-03-06T00:00:00,0,0,0
301,BENTON,2020-03-07T00:00:00,0,0,0
302,BENTON,2020-03-08T00:00:00,0,0,0
303,BENTON,2020-03-09T00:00:00,0,0,0
304,BENTON,2020-03-10T00:00:00,0,0,0
305,BENTON,2020-03-11T00:00:00,0,0,0
306,BENTON,2020-03-12T00:00:00,0,0,2
307,BENTON,2020-03-13T00:00:00,0,0,1
308,BENTON,2020-03-14T00:00:00,0,0,0
309,BENTON,2020-03-15T00:00:00,0,0,0
310,BENTON,2020-03-16T00:00:00,0,0,2
311,BENTON,2020-03-17T00:00:00,0,0,0
312,BENTON,2020-03-18T00:00:00,0,0,1
313,BENTON,2020-03-19T00:00:00,0,0,1
314,BENTON,2020-03-20T00:00:00,0,0,1
315,BENTON,2020-03-21T00:00:00,0,0,1
316,BENTON,2020-03-22T00:00:00,0,0,1
317,BENTON,2020-03-23T00:00:00,0,0,3
318,BENTON,2020-03-24T00:00:00,0,0,0
319,BENTON,2020-03-25T00:00:00,0,0,1
320,BENTON,2020-03-26T00:00:00,0,0,1
321,BENTON,2020-03-27T00:00:00,0,0,2
322,BENTON,2020-03-28T00:00:00,0,0,0
323,BENTON,2020-03-29T00:00:00,0,0,4
324,BENTON,2020-03-30T00:00:00,0,0,1
325,BENTON,2020-03-31T00:00:00,0,0,4
326,BENTON,2020-04-01T00:00:00,0,0,3
327,BENTON,2020-04-02T00:00:00,0,0,5
328,BENTON,2020-04-03T00:00:00,0,0,2
329,BENTON,2020-04-04T00:00:00,0,0,0
330,BENTON,2020-04-05T00:00:00,0,0,1
331,BENTON,2020-04-06T00:00:00,0,0,1
332,BENTON,2020-04-07T00:00:00,0,0,3
333,BENTON,2020-04-08T00:00:00,0,0,3
334,BENTON,2020-04-09T00:00:00,0,0,4
335,BENTON,2020-04-10T00:00:00,0,0,7
336,BENTON,2020-04-11T00:00:00,2,0,1
337,BENTON,2020-04-12T00:00:00,0,0,0
338,BENTON,2020-04-13T00:00:00,0,0,0
339,BENTON,2020-04-14T00:00:00,1,0,4
340,BENTON,2020-04-15T00:00:00,1,0,2
341,BENTON,2020-04-16T00:00:00,0,0,1
342,BENTON,2020-04-17T00:00:00,0,0,3
343,BENTON,2020-04-18T00:00:00,0,0,1
344,BENTON,2020-04-19T00:00:00,0,0,1
345,BENTON,2020-04-20T00:00:00,0,0,5
346,BENTON,2020-04-21T00:00:00,0,0,0
347,BENTON,2020-04-22T00:00:00,0,0,4
348,BENTON,2020-04-23T00:00:00,1,0,1
349,BENTON,2020-04-24T00:00:00,1,0,1
350,BENTON,2020-04-25T00:00:00,0,0,2
351,BENTON,2020-04-26T00:00:00,0,0,6
352,BENTON,2020-04-27T00:00:00,1,0,4
353,BENTON,2020-04-28T00:00:00,1,0,2
354,BENTON,2020-04-29T00:00:00,0,0,7
355,BENTON,2020-04-30T00:00:00,0,0,6
356,BENTON,2020-05-01T00:00:00,1,0,19
357,BENTON,2020-05-02T00:00:00,1,0,4
358,BENTON,2020-05-03T00:00:00,0,0,3
359,BENTON,2020-05-04T00:00:00,0,0,12
360,BENTON,2020-05-05T00:00:00,0,0,4
361,BENTON,2020-05-06T00:00:00,2,0,9
362,BENTON,2020-05-07T00:00:00,0,0,6
363,BENTON,2020-05-08T00:00:00,0,0,5
364,BENTON,2020-05-09T00:00:00,0,0,3
365,BENTON,2020-05-10T00:00:00,1,0,0
366,BENTON,2020-05-11T00:00:00,3,0,7
367,BENTON,2020-05-12T00:00:00,1,0,10
368,BENTON,2020-05-13T00:00:00,0,0,10
369,BENTON,2020-05-14T00:00:00,4,0,7
370,BENTON,2020-05-15T00:00:00,0,0,13
371,BENTON,2020-05-16T00:00:00,0,0,5
372,BENTON,2020-05-17T00:00:00,0,0,0
373,BENTON,2020-05-18T00:00:00,2,0,13
374,BENTON,2020-05-19T00:00:00,1,0,9
375,BENTON,2020-05-20T00:00:00,0,0,8
376,BENTON,2020-05-21T00:00:00,0,0,8
377,BENTON,2020-05-22T00:00:00,0,0,14
378,BENTON,2020-05-23T00:00:00,0,0,0
379,BENTON,2020-05-24T00:00:00,1,0,1
380,BENTON,2020-05-25T00:00:00,0,0,6
381,BENTON,2020-05-26T00:00:00,0,0,9
382,BENTON,2020-05-27T00:00:00,1,0,9
383,BENTON,2020-05-28T00:00:00,4,0,1
384,BENTON,2020-05-29T00:00:00,0,0,10
385,BENTON,2020-05-30T00:00:00,0,0,6
386,BENTON,2020-05-31T00:00:00,1,0,0
387,BENTON,2020-06-01T00:00:00,1,0,16
388,BENTON,2020-06-02T00:00:00,0,0,5
389,BENTON,2020-06-03T00:00:00,0,0,9
390,BENTON,2020-06-04T00:00:00,0,0,2
391,BENTON,2020-06-05T00:00:00,0,0,0
392,BENTON,2020-06-06T00:00:00,0,0,0
393,BLACKFORD,2020-02-29T00:00:00,0,0,0
394,BLACKFORD,2020-03-02T00:00:00,0,0,0
395,BLACKFORD,2020-03-03T00:00:00,0,0,0
396,BLACKFORD,2020-03-04T00:00:00,0,0,0
397,BLACKFORD,2020-03-05T00:00:00,0,0,0
