_id,LOCATION_ID,GENDER,AGEGRP,DATE,COVID_COUNT,COUNTY_NAME
186,18003,F,20-29,2020-04-29T00:00:00,1,Allen
187,18003,F,20-29,2020-04-30T00:00:00,2,Allen
188,18003,F,20-29,2020-05-02T00:00:00,1,Allen
189,18003,F,20-29,2020-05-03T00:00:00,1,Allen
190,18003,F,20-29,2020-05-04T00:00:00,2,Allen
191,18003,F,20-29,2020-05-05T00:00:00,3,Allen
192,18003,F,20-29,2020-05-06T00:00:00,3,Allen
193,18003,F,20-29,2020-05-07T00:00:00,5,Allen
194,18003,F,20-29,2020-05-08T00:00:00,4,Allen
195,18003,F,20-29,2020-05-09T00:00:00,4,Allen
196,18003,F,20-29,2020-05-10T00:00:00,1,Allen
197,18003,F,20-29,2020-05-11T00:00:00,9,Allen
198,18003,F,20-29,2020-05-12T00:00:00,1,Allen
199,18003,F,20-29,2020-05-13T00:00:00,5,Allen
200,18003,F,20-29,2020-05-14T00:00:00,5,Allen
201,18003,F,20-29,2020-05-15T00:00:00,1,Allen
202,18003,F,20-29,2020-05-16T00:00:00,1,Allen
203,18003,F,20-29,2020-05-17T00:00:00,5,Allen
204,18003,F,20-29,2020-05-19T00:00:00,3,Allen
205,18003,F,20-29,2020-05-20T00:00:00,5,Allen
206,18003,F,20-29,2020-05-21T00:00:00,6,Allen
207,18003,F,20-29,2020-05-22T00:00:00,4,Allen
208,18003,F,20-29,2020-05-23T00:00:00,1,Allen
209,18003,F,20-29,2020-05-24T00:00:00,4,Allen
210,18003,F,20-29,2020-05-25T00:00:00,4,Allen
211,18003,F,20-29,2020-05-26T00:00:00,3,Allen
212,18003,F,20-29,2020-05-27T00:00:00,7,Allen
213,18003,F,20-29,2020-05-28T00:00:00,4,Allen
214,18003,F,20-29,2020-05-29T00:00:00,14,Allen
215,18003,F,20-29,2020-05-30T00:00:00,3,Allen
216,18003,F,20-29,2020-05-31T00:00:00,7,Allen
217,18003,F,20-29,2020-06-01T00:00:00,2,Allen
218,18003,F,20-29,2020-06-02T00:00:00,7,Allen
219,18003,F,20-29,2020-06-03T00:00:00,2,Allen
220,18003,F,20-29,2020-06-04T00:00:00,5,Allen
221,18003,F,20-29,2020-06-05T00:00:00,4,Allen
222,18003,F,20-29,2020-06-06T00:00:00,4,Allen
223,18003,F,20-29,2020-06-07T00:00:00,4,Allen
224,18003,F,20-29,2020-06-08T00:00:00,5,Allen
225,18003,F,20-29,2020-06-09T00:00:00,4,Allen
226,18003,F,20-29,2020-06-10T00:00:00,4,Allen
227,18003,F,20-29,2020-06-12T00:00:00,3,Allen
228,18003,F,20-29,2020-06-13T00:00:00,3,Allen
229,18003,F,20-29,2020-06-14T00:00:00,4,Allen
230,18003,F,20-29,2020-06-15T00:00:00,3,Allen
231,18003,F,20-29,2020-06-16T00:00:00,1,Allen
232,18003,F,20-29,2020-06-17T00:00:00,3,Allen
233,18003,F,20-29,2020-06-18T00:00:00,1,Allen
234,18003,F,20-29,2020-06-19T00:00:00,1,Allen
235,18003,F,20-29,2020-06-20T00:00:00,3,Allen
236,18003,F,20-29,2020-06-21T00:00:00,3,Allen
