_id,COUNTY_NAME,GENDER,AGE_GRP,EVENT_DATE,COVID_COUNT
133,ALLEN,F,30-39,2020-03-23T00:00:00,1
134,ALLEN,F,30-39,2020-03-26T00:00:00,1
135,ALLEN,F,30-39,2020-04-05T00:00:00,1
136,ALLEN,F,30-39,2020-04-13T00:00:00,1
137,ALLEN,F,30-39,2020-04-15T00:00:00,4
138,ALLEN,F,30-39,2020-04-16T00:00:00,1
139,ALLEN,F,30-39,2020-04-17T00:00:00,2
140,ALLEN,F,30-39,2020-04-18T00:00:00,4
141,ALLEN,F,30-39,2020-04-19T00:00:00,4
142,ALLEN,F,30-39,2020-04-20T00:00:00,2
143,ALLEN,F,30-39,2020-04-22T00:00:00,7
144,ALLEN,F,30-39,2020-04-23T00:00:00,2
145,ALLEN,F,30-39,2020-04-24T00:00:00,2
146,ALLEN,F,30-39,2020-04-26T00:00:00,1
147,ALLEN,F,30-39,2020-04-29T00:00:00,1
148,ALLEN,F,30-39,2020-04-30T00:00:00,3
149,ALLEN,F,30-39,2020-05-01T00:00:00,1
150,ALLEN,F,30-39,2020-05-02T00:00:00,1
151,ALLEN,F,30-39,2020-05-03T00:00:00,3
152,ALLEN,F,30-39,2020-05-04T00:00:00,5
153,ALLEN,F,30-39,2020-05-05T00:00:00,2
154,ALLEN,F,30-39,2020-05-06T00:00:00,3
155,ALLEN,F,30-39,2020-05-07T00:00:00,1
156,ALLEN,F,30-39,2020-05-08T00:00:00,1
157,ALLEN,F,30-39,2020-05-09T00:00:00,1
158,ALLEN,F,30-39,2020-05-10T00:00:00,1
159,ALLEN,F,30-39,2020-05-11T00:00:00,1
160,ALLEN,F,30-39,2020-05-12T00:00:00,1
161,ALLEN,F,30-39,2020-05-13T00:00:00,2
162,ALLEN,F,30-39,2020-05-14T00:00:00,6
163,ALLEN,F,30-39,2020-05-15T00:00:00,3
164,ALLEN,F,30-39,2020-05-16T00:00:00,2
165,ALLEN,F,30-39,2020-05-17T00:00:00,3
166,ALLEN,F,30-39,2020-05-18T00:00:00,1
167,ALLEN,F,30-39,2020-05-19T00:00:00,1
168,ALLEN,F,30-39,2020-05-20T00:00:00,4
169,ALLEN,F,30-39,2020-05-21T00:00:00,7
170,ALLEN,F,30-39,2020-05-22T00:00:00,2
171,ALLEN,F,30-39,2020-05-23T00:00:00,4
172,ALLEN,F,30-39,2020-05-24T00:00:00,5
173,ALLEN,F,30-39,2020-05-25T00:00:00,4
174,ALLEN,F,30-39,2020-05-26T00:00:00,2
175,ALLEN,F,30-39,2020-05-27T00:00:00,9
176,ALLEN,F,30-39,2020-05-28T00:00:00,4
177,ALLEN,F,30-39,2020-05-29T00:00:00,7
178,ALLEN,F,30-39,2020-05-30T00:00:00,4
179,ALLEN,F,30-39,2020-05-31T00:00:00,3
180,ALLEN,F,30-39,2020-06-01T00:00:00,5
181,ALLEN,F,30-39,2020-06-02T00:00:00,2
182,ALLEN,F,30-39,2020-06-03T00:00:00,3
183,ALLEN,F,30-39,2020-06-04T00:00:00,5
184,ALLEN,F,30-39,2020-06-05T00:00:00,3
185,ALLEN,F,30-39,2020-06-06T00:00:00,4
186,ALLEN,F,30-39,2020-06-08T00:00:00,1
187,ALLEN,F,30-39,2020-06-09T00:00:00,4
188,ALLEN,F,30-39,2020-06-10T00:00:00,7
189,ALLEN,F,30-39,2020-06-11T00:00:00,3
190,ALLEN,F,30-39,2020-06-12T00:00:00,7
191,ALLEN,F,30-39,2020-06-13T00:00:00,6
192,ALLEN,F,30-39,2020-06-14T00:00:00,3
193,ALLEN,F,30-39,2020-06-15T00:00:00,4
194,ALLEN,F,30-39,2020-06-16T00:00:00,4
195,ALLEN,F,30-39,2020-06-17T00:00:00,6
196,ALLEN,F,30-39,2020-06-18T00:00:00,2
197,ALLEN,F,40-49,2020-03-20T00:00:00,1
198,ALLEN,F,40-49,2020-03-31T00:00:00,1
199,ALLEN,F,40-49,2020-04-02T00:00:00,1
200,ALLEN,F,40-49,2020-04-04T00:00:00,1
201,ALLEN,F,40-49,2020-04-05T00:00:00,4
202,ALLEN,F,40-49,2020-04-07T00:00:00,1
203,ALLEN,F,40-49,2020-04-08T00:00:00,2
204,ALLEN,F,40-49,2020-04-09T00:00:00,3
205,ALLEN,F,40-49,2020-04-10T00:00:00,1
206,ALLEN,F,40-49,2020-04-11T00:00:00,1
207,ALLEN,F,40-49,2020-04-12T00:00:00,2
208,ALLEN,F,40-49,2020-04-14T00:00:00,4
209,ALLEN,F,40-49,2020-04-15T00:00:00,5
210,ALLEN,F,40-49,2020-04-16T00:00:00,5
211,ALLEN,F,40-49,2020-04-19T00:00:00,5
212,ALLEN,F,40-49,2020-04-20T00:00:00,4
213,ALLEN,F,40-49,2020-04-21T00:00:00,1
214,ALLEN,F,40-49,2020-04-22T00:00:00,6
215,ALLEN,F,40-49,2020-04-24T00:00:00,5
216,ALLEN,F,40-49,2020-04-25T00:00:00,1
217,ALLEN,F,40-49,2020-04-26T00:00:00,3
218,ALLEN,F,40-49,2020-04-27T00:00:00,1
219,ALLEN,F,40-49,2020-04-29T00:00:00,2
220,ALLEN,F,40-49,2020-05-01T00:00:00,1
221,ALLEN,F,40-49,2020-05-02T00:00:00,2
222,ALLEN,F,40-49,2020-05-04T00:00:00,3
223,ALLEN,F,40-49,2020-05-05T00:00:00,1
224,ALLEN,F,40-49,2020-05-06T00:00:00,1
225,ALLEN,F,40-49,2020-05-07T00:00:00,1
226,ALLEN,F,40-49,2020-05-09T00:00:00,1
227,ALLEN,F,40-49,2020-05-10T00:00:00,4
228,ALLEN,F,40-49,2020-05-11T00:00:00,6
229,ALLEN,F,40-49,2020-05-12T00:00:00,1
230,ALLEN,F,40-49,2020-05-13T00:00:00,1
231,ALLEN,F,40-49,2020-05-14T00:00:00,5
232,ALLEN,F,40-49,2020-05-15T00:00:00,4
233,ALLEN,F,40-49,2020-05-17T00:00:00,2
234,ALLEN,F,40-49,2020-05-18T00:00:00,2
235,ALLEN,F,40-49,2020-05-19T00:00:00,6
236,ALLEN,F,40-49,2020-05-20T00:00:00,2
237,ALLEN,F,40-49,2020-05-21T00:00:00,3
238,ALLEN,F,40-49,2020-05-23T00:00:00,3
239,ALLEN,F,40-49,2020-05-24T00:00:00,2
240,ALLEN,F,40-49,2020-05-25T00:00:00,5
241,ALLEN,F,40-49,2020-05-26T00:00:00,2
242,ALLEN,F,40-49,2020-05-27T00:00:00,2
243,ALLEN,F,40-49,2020-05-28T00:00:00,4
244,ALLEN,F,40-49,2020-05-29T00:00:00,12
245,ALLEN,F,40-49,2020-05-30T00:00:00,1
246,ALLEN,F,40-49,2020-05-31T00:00:00,2
247,ALLEN,F,40-49,2020-06-01T00:00:00,2
248,ALLEN,F,40-49,2020-06-02T00:00:00,8
249,ALLEN,F,40-49,2020-06-03T00:00:00,3
250,ALLEN,F,40-49,2020-06-04T00:00:00,5
251,ALLEN,F,40-49,2020-06-05T00:00:00,3
252,ALLEN,F,40-49,2020-06-06T00:00:00,1
253,ALLEN,F,40-49,2020-06-07T00:00:00,2
254,ALLEN,F,40-49,2020-06-08T00:00:00,4
255,ALLEN,F,40-49,2020-06-09T00:00:00,5
256,ALLEN,F,40-49,2020-06-10T00:00:00,3
257,ALLEN,F,40-49,2020-06-11T00:00:00,3
258,ALLEN,F,40-49,2020-06-12T00:00:00,2
259,ALLEN,F,40-49,2020-06-13T00:00:00,7
260,ALLEN,F,40-49,2020-06-14T00:00:00,1
261,ALLEN,F,40-49,2020-06-15T00:00:00,5
262,ALLEN,F,40-49,2020-06-16T00:00:00,1
263,ALLEN,F,40-49,2020-06-17T00:00:00,6
264,ALLEN,F,40-49,2020-06-18T00:00:00,2
265,ALLEN,F,50-59,2020-03-26T00:00:00,1
266,ALLEN,F,50-59,2020-03-28T00:00:00,1
267,ALLEN,F,50-59,2020-04-02T00:00:00,1
268,ALLEN,F,50-59,2020-04-03T00:00:00,1
269,ALLEN,F,50-59,2020-04-06T00:00:00,1
270,ALLEN,F,50-59,2020-04-07T00:00:00,2
271,ALLEN,F,50-59,2020-04-08T00:00:00,1
272,ALLEN,F,50-59,2020-04-09T00:00:00,2
273,ALLEN,F,50-59,2020-04-10T00:00:00,1
274,ALLEN,F,50-59,2020-04-14T00:00:00,3
275,ALLEN,F,50-59,2020-04-15T00:00:00,4
276,ALLEN,F,50-59,2020-04-16T00:00:00,4
277,ALLEN,F,50-59,2020-04-17T00:00:00,2
278,ALLEN,F,50-59,2020-04-18T00:00:00,1
279,ALLEN,F,50-59,2020-04-19T00:00:00,2
280,ALLEN,F,50-59,2020-04-20T00:00:00,1
281,ALLEN,F,50-59,2020-04-22T00:00:00,2
282,ALLEN,F,50-59,2020-04-23T00:00:00,1
283,ALLEN,F,50-59,2020-04-24T00:00:00,4
284,ALLEN,F,50-59,2020-04-25T00:00:00,1
285,ALLEN,F,50-59,2020-04-26T00:00:00,2
286,ALLEN,F,50-59,2020-04-27T00:00:00,3
287,ALLEN,F,50-59,2020-04-29T00:00:00,3
288,ALLEN,F,50-59,2020-04-30T00:00:00,4
289,ALLEN,F,50-59,2020-05-01T00:00:00,2
290,ALLEN,F,50-59,2020-05-02T00:00:00,2
291,ALLEN,F,50-59,2020-05-03T00:00:00,2
292,ALLEN,F,50-59,2020-05-04T00:00:00,1
293,ALLEN,F,50-59,2020-05-05T00:00:00,1
294,ALLEN,F,50-59,2020-05-06T00:00:00,4
295,ALLEN,F,50-59,2020-05-07T00:00:00,3
296,ALLEN,F,50-59,2020-05-08T00:00:00,4
297,ALLEN,F,50-59,2020-05-11T00:00:00,3
298,ALLEN,F,50-59,2020-05-14T00:00:00,5
299,ALLEN,F,50-59,2020-05-15T00:00:00,3
300,ALLEN,F,50-59,2020-05-16T00:00:00,2
301,ALLEN,F,50-59,2020-05-17T00:00:00,2
302,ALLEN,F,50-59,2020-05-18T00:00:00,2
303,ALLEN,F,50-59,2020-05-19T00:00:00,2
304,ALLEN,F,50-59,2020-05-20T00:00:00,4
305,ALLEN,F,50-59,2020-05-21T00:00:00,3
306,ALLEN,F,50-59,2020-05-22T00:00:00,3
307,ALLEN,F,50-59,2020-05-23T00:00:00,3
308,ALLEN,F,50-59,2020-05-24T00:00:00,3
309,ALLEN,F,50-59,2020-05-25T00:00:00,1
310,ALLEN,F,50-59,2020-05-26T00:00:00,2
