_id,location_id,gender,agegrp,date,covid_cases,county_name
139,18003,F,20-29,2020-05-21T00:00:00,6,Allen
140,18003,F,20-29,2020-05-22T00:00:00,4,Allen
141,18003,F,20-29,2020-05-23T00:00:00,1,Allen
142,18003,F,20-29,2020-05-24T00:00:00,4,Allen
143,18003,F,20-29,2020-05-25T00:00:00,4,Allen
144,18003,F,20-29,2020-05-26T00:00:00,3,Allen
145,18003,F,20-29,2020-05-27T00:00:00,7,Allen
146,18003,F,20-29,2020-05-28T00:00:00,4,Allen
147,18003,F,20-29,2020-05-29T00:00:00,14,Allen
148,18003,F,20-29,2020-05-30T00:00:00,3,Allen
149,18003,F,20-29,2020-05-31T00:00:00,7,Allen
150,18003,F,20-29,2020-06-01T00:00:00,2,Allen
151,18003,F,20-29,2020-06-02T00:00:00,7,Allen
152,18003,F,20-29,2020-06-03T00:00:00,2,Allen
153,18003,F,20-29,2020-06-04T00:00:00,5,Allen
154,18003,F,20-29,2020-06-05T00:00:00,4,Allen
155,18003,F,20-29,2020-06-06T00:00:00,4,Allen
156,18003,F,20-29,2020-06-07T00:00:00,4,Allen
157,18003,F,20-29,2020-06-08T00:00:00,5,Allen
158,18003,F,20-29,2020-06-09T00:00:00,4,Allen
159,18003,F,20-29,2020-06-10T00:00:00,4,Allen
160,18003,F,20-29,2020-06-12T00:00:00,3,Allen
161,18003,F,20-29,2020-06-13T00:00:00,3,Allen
162,18003,F,20-29,2020-06-14T00:00:00,4,Allen
163,18003,F,20-29,2020-06-15T00:00:00,3,Allen
164,18003,F,20-29,2020-06-16T00:00:00,1,Allen
165,18003,F,20-29,2020-06-17T00:00:00,3,Allen
166,18003,F,20-29,2020-06-18T00:00:00,1,Allen
167,18003,F,20-29,2020-06-19T00:00:00,1,Allen
168,18003,F,20-29,2020-06-20T00:00:00,3,Allen
169,18003,F,20-29,2020-06-21T00:00:00,3,Allen
170,18003,F,20-29,2020-06-23T00:00:00,3,Allen
171,18003,F,20-29,2020-06-24T00:00:00,4,Allen
172,18003,F,20-29,2020-06-25T00:00:00,5,Allen
173,18003,F,20-29,2020-06-26T00:00:00,1,Allen
174,18003,F,20-29,2020-06-27T00:00:00,1,Allen
175,18003,F,20-29,2020-06-28T00:00:00,4,Allen
176,18003,F,20-29,2020-06-29T00:00:00,3,Allen
177,18003,F,20-29,2020-06-30T00:00:00,5,Allen
178,18003,F,20-29,2020-07-01T00:00:00,2,Allen
179,18003,F,20-29,2020-07-02T00:00:00,1,Allen
180,18003,F,20-29,2020-07-03T00:00:00,4,Allen
181,18003,F,20-29,2020-07-04T00:00:00,5,Allen
182,18003,F,20-29,2020-07-05T00:00:00,4,Allen
183,18003,F,20-29,2020-07-06T00:00:00,1,Allen
184,18003,F,30-39,2020-03-23T00:00:00,1,Allen
185,18003,F,30-39,2020-03-26T00:00:00,1,Allen
186,18003,F,30-39,2020-04-05T00:00:00,1,Allen
187,18003,F,30-39,2020-04-13T00:00:00,1,Allen
188,18003,F,30-39,2020-04-15T00:00:00,4,Allen
189,18003,F,30-39,2020-04-16T00:00:00,1,Allen
190,18003,F,30-39,2020-04-17T00:00:00,2,Allen
191,18003,F,30-39,2020-04-18T00:00:00,4,Allen
192,18003,F,30-39,2020-04-19T00:00:00,4,Allen
193,18003,F,30-39,2020-04-20T00:00:00,2,Allen
194,18003,F,30-39,2020-04-22T00:00:00,7,Allen
195,18003,F,30-39,2020-04-23T00:00:00,2,Allen
196,18003,F,30-39,2020-04-24T00:00:00,2,Allen
