_id,DATE,BEDS_ICU_TOTAL,BEDS_ICU_OCCUPIED_COVID_19,BEDS_ICU_NO_OCCUPIED_COVID_19,BEDS_AVAILABLE_ICU_BEDS_TOTAL,VENTS_TOTAL,VENTS_ALL_USE_COVID_19,VENTS_NON_COVID_PTS_ON_VENTS,VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE,PCT_BEDS_ICU_OCCUPIED_COVID_19,PCT_BEDS_ICU_NO_OCCUPIED_COVID_19,PCT_BEDS_AVAILABLE_ICU_BEDS_TOTAL,PCT_VENTS_ALL_USE_COVID_19,PCT_VENTS_NON_COVID_PTS_ON_VENTS,PCT_VENTS_ALL_AVAILABLE_VENTS_NOT_IN_USE
57,2020-04-23T00:00:00,3272,621,1201,1450,3215,325,372,2518,18.980000000000000426325641456060111522674560546875,36.71000000000000085265128291212022304534912109375,44.32000000000000028421709430404007434844970703125,10.1099999999999994315658113919198513031005859375,11.57000000000000028421709430404007434844970703125,78.31999999999999317878973670303821563720703125
58,2020-04-24T00:00:00,3258,598,1204,1456,3198,324,359,2515,18.35000000000000142108547152020037174224853515625,36.96000000000000085265128291212022304534912109375,44.68999999999999772626324556767940521240234375,10.1300000000000007815970093361102044582366943359375,11.230000000000000426325641456060111522674560546875,78.6400000000000005684341886080801486968994140625
59,2020-04-25T00:00:00,3312,588,1304,1420,3158,310,359,2489,17.75,39.36999999999999744204615126363933086395263671875,42.86999999999999744204615126363933086395263671875,9.82000000000000028421709430404007434844970703125,11.3699999999999992184029906638897955417633056640625,78.81999999999999317878973670303821563720703125
60,2020-04-26T00:00:00,3307,581,1277,1449,3160,284,378,2498,17.57000000000000028421709430404007434844970703125,38.61999999999999744204615126363933086395263671875,43.82000000000000028421709430404007434844970703125,8.9900000000000002131628207280300557613372802734375,11.96000000000000085265128291212022304534912109375,79.0499999999999971578290569595992565155029296875
61,2020-04-27T00:00:00,3271,546,1279,1446,3180,275,380,2525,16.690000000000001278976924368180334568023681640625,39.10000000000000142108547152020037174224853515625,44.21000000000000085265128291212022304534912109375,8.6500000000000003552713678800500929355621337890625,11.949999999999999289457264239899814128875732421875,79.400000000000005684341886080801486968994140625
62,2020-04-28T00:00:00,3063,562,1162,1339,3026,267,323,2436,18.35000000000000142108547152020037174224853515625,37.93999999999999772626324556767940521240234375,43.719999999999998863131622783839702606201171875,8.82000000000000028421709430404007434844970703125,10.6699999999999999289457264239899814128875732421875,80.5
63,2020-04-29T00:00:00,2983,530,1169,1284,3084,263,328,2493,17.769999999999999573674358543939888477325439453125,39.18999999999999772626324556767940521240234375,43.03999999999999914734871708787977695465087890625,8.5299999999999993605115378159098327159881591796875,10.6400000000000005684341886080801486968994140625,80.840000000000003410605131648480892181396484375
64,2020-04-30T00:00:00,2946,517,1187,1242,3077,247,357,2473,17.550000000000000710542735760100185871124267578125,40.28999999999999914734871708787977695465087890625,42.159999999999996589394868351519107818603515625,8.0299999999999993605115378159098327159881591796875,11.5999999999999996447286321199499070644378662109375,80.3700000000000045474735088646411895751953125
65,2020-05-01T00:00:00,2956,472,1189,1295,3094,245,363,2486,15.9700000000000006394884621840901672840118408203125,40.219999999999998863131622783839702606201171875,43.81000000000000227373675443232059478759765625,7.9199999999999999289457264239899814128875732421875,11.730000000000000426325641456060111522674560546875,80.349999999999994315658113919198513031005859375
66,2020-05-02T00:00:00,2961,484,1143,1334,3036,250,346,2440,16.35000000000000142108547152020037174224853515625,38.60000000000000142108547152020037174224853515625,45.0499999999999971578290569595992565155029296875,8.230000000000000426325641456060111522674560546875,11.4000000000000003552713678800500929355621337890625,80.3700000000000045474735088646411895751953125
