_id,date,beds_icu_total,beds_icu_occupied_beds_covid_19,bed_occupied_icu_non_covid,beds_available_icu_beds_total,vents_total,vents_all_in_use_covid_19,vents_non_covid_pts_on_vents,vents_all_available_vents_not_in_use,pct_beds_icu_occupied_beds_covid_19,pct_bed_occupied_icu_non_covid,pct_beds_available_icu_beds_total,pct_vents_all_in_use_covid_19,pct_vents_non_covid_pts_on_vents,pct_vents_all_available_vents_not_in_use
53,2020-05-30T00:00:00,2544,372,1166,1006,3056,143,352,2561,14.6199999999999992184029906638897955417633056640625,45.8299999999999982946974341757595539093017578125,39.53999999999999914734871708787977695465087890625,4.67999999999999971578290569595992565155029296875,11.519999999999999573674358543939888477325439453125,83.7999999999999971578290569595992565155029296875
54,2020-05-31T00:00:00,2533,366,1131,1036,3066,148,351,2567,14.449999999999999289457264239899814128875732421875,44.64999999999999857891452847979962825775146484375,40.89999999999999857891452847979962825775146484375,4.8300000000000000710542735760100185871124267578125,11.449999999999999289457264239899814128875732421875,83.719999999999998863131622783839702606201171875
55,2020-06-01T00:00:00,2555,358,1076,1121,3052,140,368,2544,14.0099999999999997868371792719699442386627197265625,42.1099999999999994315658113919198513031005859375,43.86999999999999744204615126363933086395263671875,4.589999999999999857891452847979962825775146484375,12.0600000000000004973799150320701301097869873046875,83.3599999999999994315658113919198513031005859375
56,2020-06-02T00:00:00,2555,355,1159,1041,3089,144,375,2570,13.8900000000000005684341886080801486968994140625,45.3599999999999994315658113919198513031005859375,40.74000000000000198951966012828052043914794921875,4.660000000000000142108547152020037174224853515625,12.1400000000000005684341886080801486968994140625,83.2000000000000028421709430404007434844970703125
57,2020-06-03T00:00:00,2543,372,1217,954,3076,144,389,2543,14.6300000000000007815970093361102044582366943359375,47.8599999999999994315658113919198513031005859375,37.50999999999999801048033987171947956085205078125,4.67999999999999971578290569595992565155029296875,12.6500000000000003552713678800500929355621337890625,82.6700000000000017053025658242404460906982421875
58,2020-06-04T00:00:00,2601,368,1282,951,3025,147,367,2511,14.1500000000000003552713678800500929355621337890625,49.28999999999999914734871708787977695465087890625,36.56000000000000227373675443232059478759765625,4.86000000000000031974423109204508364200592041015625,12.1300000000000007815970093361102044582366943359375,83.0100000000000051159076974727213382720947265625
59,2020-06-05T00:00:00,2638,344,1310,984,3018,133,383,2502,13.03999999999999914734871708787977695465087890625,49.659999999999996589394868351519107818603515625,37.2999999999999971578290569595992565155029296875,4.410000000000000142108547152020037174224853515625,12.6899999999999995026200849679298698902130126953125,82.900000000000005684341886080801486968994140625
60,2020-06-06T00:00:00,2649,335,1325,989,2988,133,383,2472,12.6500000000000003552713678800500929355621337890625,50.02000000000000312638803734444081783294677734375,37.3299999999999982946974341757595539093017578125,4.45000000000000017763568394002504646778106689453125,12.82000000000000028421709430404007434844970703125,82.7300000000000039790393202565610408782958984375
61,2020-06-07T00:00:00,2673,346,1303,1024,2989,130,374,2485,12.9399999999999995026200849679298698902130126953125,48.75,38.31000000000000227373675443232059478759765625,4.3499999999999996447286321199499070644378662109375,12.5099999999999997868371792719699442386627197265625,83.1400000000000005684341886080801486968994140625
62,2020-06-08T00:00:00,2529,307,1242,980,3002,113,424,2465,12.1400000000000005684341886080801486968994140625,49.1099999999999994315658113919198513031005859375,38.75,3.7599999999999997868371792719699442386627197265625,14.1199999999999992184029906638897955417633056640625,82.1099999999999994315658113919198513031005859375
