_id,date,agegrp,covid_deaths
431,2020-07-01T00:00:00,60-69,1
432,2020-07-01T00:00:00,70-79,1
433,2020-07-01T00:00:00,80+,7
434,2020-07-02T00:00:00,30-39,1
435,2020-07-02T00:00:00,70-79,2
436,2020-07-02T00:00:00,80+,5
437,2020-07-03T00:00:00,70-79,5
438,2020-07-03T00:00:00,80+,4
439,2020-07-04T00:00:00,50-59,1
440,2020-07-04T00:00:00,60-69,3
441,2020-07-04T00:00:00,70-79,1
442,2020-07-04T00:00:00,80+,2
443,2020-07-05T00:00:00,70-79,1
444,2020-07-05T00:00:00,80+,10
445,2020-07-06T00:00:00,50-59,3
446,2020-07-06T00:00:00,60-69,2
447,2020-07-06T00:00:00,70-79,3
448,2020-07-06T00:00:00,80+,7
449,2020-07-07T00:00:00,70-79,2
450,2020-07-07T00:00:00,80+,4
451,2020-07-08T00:00:00,20-29,1
452,2020-07-08T00:00:00,60-69,1
453,2020-07-08T00:00:00,70-79,2
454,2020-07-08T00:00:00,80+,4
455,2020-07-09T00:00:00,30-39,1
456,2020-07-09T00:00:00,50-59,1
457,2020-07-09T00:00:00,60-69,3
458,2020-07-09T00:00:00,70-79,2
459,2020-07-09T00:00:00,80+,3
460,2020-07-10T00:00:00,50-59,1
461,2020-07-10T00:00:00,60-69,1
462,2020-07-10T00:00:00,70-79,3
463,2020-07-10T00:00:00,80+,2
464,2020-07-11T00:00:00,70-79,4
465,2020-07-11T00:00:00,80+,4
466,2020-07-12T00:00:00,50-59,2
467,2020-07-12T00:00:00,70-79,6
468,2020-07-12T00:00:00,80+,5
469,2020-07-13T00:00:00,60-69,2
470,2020-07-13T00:00:00,70-79,3
471,2020-07-13T00:00:00,80+,4
472,2020-07-14T00:00:00,70-79,2
473,2020-07-14T00:00:00,80+,3
474,2020-07-15T00:00:00,60-69,2
475,2020-07-15T00:00:00,70-79,3
476,2020-07-15T00:00:00,80+,5
477,2020-07-16T00:00:00,60-69,2
478,2020-07-16T00:00:00,70-79,3
479,2020-07-16T00:00:00,80+,4
480,2020-07-17T00:00:00,60-69,3
481,2020-07-17T00:00:00,70-79,1
482,2020-07-17T00:00:00,80+,5
483,2020-07-18T00:00:00,50-59,1
484,2020-07-18T00:00:00,70-79,1
485,2020-07-18T00:00:00,80+,3
486,2020-07-19T00:00:00,60-69,2
487,2020-07-19T00:00:00,70-79,1
488,2020-07-19T00:00:00,80+,5
489,2020-07-20T00:00:00,60-69,4
490,2020-07-20T00:00:00,70-79,4
491,2020-07-20T00:00:00,80+,5
492,2020-07-21T00:00:00,50-59,1
493,2020-07-21T00:00:00,60-69,1
494,2020-07-21T00:00:00,70-79,2
495,2020-07-21T00:00:00,80+,5
496,2020-07-22T00:00:00,50-59,1
497,2020-07-22T00:00:00,60-69,1
498,2020-07-22T00:00:00,70-79,1
499,2020-07-22T00:00:00,80+,10
500,2020-07-23T00:00:00,60-69,5
501,2020-07-23T00:00:00,70-79,2
502,2020-07-23T00:00:00,80+,3
503,2020-07-24T00:00:00,60-69,3
504,2020-07-24T00:00:00,70-79,4
505,2020-07-24T00:00:00,80+,2
506,2020-07-25T00:00:00,50-59,1
507,2020-07-25T00:00:00,70-79,2
508,2020-07-25T00:00:00,80+,5
509,2020-07-26T00:00:00,60-69,1
510,2020-07-26T00:00:00,70-79,1
511,2020-07-26T00:00:00,80+,6
512,2020-07-27T00:00:00,60-69,2
513,2020-07-27T00:00:00,70-79,1
514,2020-07-27T00:00:00,80+,1
515,2020-07-28T00:00:00,40-49,1
516,2020-07-28T00:00:00,60-69,1
517,2020-07-28T00:00:00,70-79,2
518,2020-07-28T00:00:00,80+,2
519,2020-07-29T00:00:00,20-29,1
520,2020-07-29T00:00:00,70-79,6
521,2020-07-29T00:00:00,80+,12
522,2020-07-30T00:00:00,50-59,2
523,2020-07-30T00:00:00,60-69,1
524,2020-07-30T00:00:00,70-79,2
525,2020-07-30T00:00:00,80+,4
526,2020-07-31T00:00:00,50-59,1
527,2020-07-31T00:00:00,60-69,2
528,2020-07-31T00:00:00,70-79,2
529,2020-07-31T00:00:00,80+,5
530,2020-08-01T00:00:00,50-59,1
531,2020-08-01T00:00:00,60-69,2
532,2020-08-01T00:00:00,70-79,4
533,2020-08-01T00:00:00,80+,5
534,2020-08-02T00:00:00,70-79,4
535,2020-08-02T00:00:00,80+,5
536,2020-08-03T00:00:00,40-49,1
537,2020-08-03T00:00:00,70-79,2
538,2020-08-03T00:00:00,80+,6
539,2020-08-04T00:00:00,50-59,2
540,2020-08-04T00:00:00,70-79,1
541,2020-08-04T00:00:00,80+,6
542,2020-08-05T00:00:00,60-69,1
543,2020-08-05T00:00:00,70-79,2
544,2020-08-05T00:00:00,80+,1
545,2020-08-06T00:00:00,60-69,2
546,2020-08-06T00:00:00,70-79,5
547,2020-08-06T00:00:00,80+,7
548,2020-08-07T00:00:00,40-49,1
549,2020-08-07T00:00:00,50-59,1
550,2020-08-07T00:00:00,60-69,1
551,2020-08-07T00:00:00,70-79,6
552,2020-08-07T00:00:00,80+,5
553,2020-08-08T00:00:00,50-59,1
554,2020-08-08T00:00:00,60-69,4
555,2020-08-08T00:00:00,70-79,2
556,2020-08-08T00:00:00,80+,3
557,2020-08-09T00:00:00,60-69,1
558,2020-08-09T00:00:00,70-79,3
559,2020-08-09T00:00:00,80+,2
560,2020-08-10T00:00:00,50-59,1
561,2020-08-10T00:00:00,60-69,2
562,2020-08-10T00:00:00,70-79,4
563,2020-08-10T00:00:00,80+,8
564,2020-08-11T00:00:00,50-59,1
565,2020-08-11T00:00:00,70-79,5
566,2020-08-11T00:00:00,80+,7
567,2020-08-12T00:00:00,50-59,1
568,2020-08-12T00:00:00,60-69,2
569,2020-08-12T00:00:00,70-79,3
570,2020-08-12T00:00:00,80+,9
571,2020-08-13T00:00:00,40-49,1
572,2020-08-13T00:00:00,50-59,2
573,2020-08-13T00:00:00,70-79,2
574,2020-08-13T00:00:00,80+,10
575,2020-08-14T00:00:00,60-69,1
576,2020-08-14T00:00:00,70-79,4
577,2020-08-14T00:00:00,80+,9
578,2020-08-15T00:00:00,60-69,1
579,2020-08-15T00:00:00,70-79,4
580,2020-08-15T00:00:00,80+,4
581,2020-08-16T00:00:00,50-59,1
582,2020-08-16T00:00:00,60-69,3
583,2020-08-16T00:00:00,70-79,3
584,2020-08-16T00:00:00,80+,4
585,2020-08-17T00:00:00,20-29,1
586,2020-08-17T00:00:00,30-39,1
587,2020-08-17T00:00:00,50-59,1
588,2020-08-17T00:00:00,60-69,3
589,2020-08-17T00:00:00,70-79,6
590,2020-08-17T00:00:00,80+,8
591,2020-08-18T00:00:00,60-69,1
592,2020-08-18T00:00:00,70-79,3
593,2020-08-18T00:00:00,80+,1
594,2020-08-19T00:00:00,60-69,4
595,2020-08-19T00:00:00,70-79,4
596,2020-08-19T00:00:00,80+,3
597,2020-08-20T00:00:00,30-39,1
598,2020-08-20T00:00:00,60-69,4
599,2020-08-20T00:00:00,70-79,2
600,2020-08-20T00:00:00,80+,5
601,2020-08-21T00:00:00,40-49,1
602,2020-08-21T00:00:00,50-59,1
603,2020-08-21T00:00:00,60-69,2
604,2020-08-21T00:00:00,70-79,1
605,2020-08-21T00:00:00,80+,3
606,2020-08-22T00:00:00,40-49,2
607,2020-08-22T00:00:00,50-59,1
608,2020-08-22T00:00:00,60-69,1
609,2020-08-22T00:00:00,70-79,1
610,2020-08-22T00:00:00,80+,8
611,2020-08-23T00:00:00,50-59,1
612,2020-08-23T00:00:00,70-79,3
613,2020-08-23T00:00:00,80+,7
614,2020-08-24T00:00:00,50-59,1
615,2020-08-24T00:00:00,60-69,4
616,2020-08-24T00:00:00,70-79,5
617,2020-08-24T00:00:00,80+,3
618,2020-08-25T00:00:00,50-59,3
619,2020-08-25T00:00:00,60-69,1
620,2020-08-25T00:00:00,70-79,3
621,2020-08-25T00:00:00,80+,3
622,2020-08-26T00:00:00,70-79,1
623,2020-08-26T00:00:00,80+,2
624,2020-08-27T00:00:00,50-59,1
625,2020-08-27T00:00:00,60-69,1
626,2020-08-27T00:00:00,70-79,6
627,2020-08-27T00:00:00,80+,7
628,2020-08-28T00:00:00,50-59,1
629,2020-08-28T00:00:00,60-69,1
630,2020-08-28T00:00:00,70-79,2
631,2020-08-28T00:00:00,80+,5
632,2020-08-29T00:00:00,50-59,1
633,2020-08-29T00:00:00,60-69,3
634,2020-08-29T00:00:00,70-79,1
635,2020-08-29T00:00:00,80+,3
636,2020-08-30T00:00:00,60-69,4
637,2020-08-30T00:00:00,70-79,1
638,2020-08-30T00:00:00,80+,2
639,2020-08-31T00:00:00,30-39,1
640,2020-08-31T00:00:00,40-49,2
641,2020-08-31T00:00:00,60-69,2
642,2020-08-31T00:00:00,70-79,4
643,2020-08-31T00:00:00,80+,3
644,2020-09-01T00:00:00,40-49,1
645,2020-09-01T00:00:00,70-79,2
646,2020-09-01T00:00:00,80+,2
647,2020-09-02T00:00:00,50-59,1
648,2020-09-02T00:00:00,60-69,2
649,2020-09-02T00:00:00,70-79,3
650,2020-09-02T00:00:00,80+,3
651,2020-09-03T00:00:00,30-39,1
652,2020-09-03T00:00:00,60-69,1
653,2020-09-03T00:00:00,80+,3
654,2020-09-04T00:00:00,60-69,1
655,2020-09-04T00:00:00,70-79,2
656,2020-09-04T00:00:00,80+,10
657,2020-09-05T00:00:00,60-69,1
658,2020-09-05T00:00:00,70-79,3
